编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,该船员拍摄照片时，P地的地方时为	22时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 22时)))) )
1-B,该船员拍摄照片时，P地的地方时为	14时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 14时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 14时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，14时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，14时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 14时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 14时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 14时)))) )
1-C,该船员拍摄照片时，P地的地方时为	20时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 20时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 20时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，20时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，20时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 20时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 20时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 20时)))) )
1-D,该船员拍摄照片时，P地的地方时为	16时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 16时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 16时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，16时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，16时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 16时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 16时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 16时)))) )
2-A,拍摄照片的当天，漠河的夜长约为	16小时,None,3 10,5,,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 16小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 16 小时,VV NN DEG time PU loc DEG NN AD VC time,,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，16小时）,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，16小时）,0_3 1_6-9,0_3 1_6-9,时间限定 实体信息陈述,时间限定 实体信息陈述,3 10,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 16小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 16 小时,VV NN DEG time PU loc DEG NN AD VC time,( (IP (NP (DNP (NP (CP (IP (VV 拍摄))) (NP (NN 照片))) (DEG 的)) (NP (NT 当天))) (PU ，) (NP (DNP (NP (NR 漠河)) (DEG 的)) (NP (NN 夜长))) (VP (ADVP (AD 约)) (VP (VC 为) (NP (NT 16小时))))) )
2-B,拍摄照片的当天，漠河的夜长约为	14小时,None,3 10,5,,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 14小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 14 小时,VV NN DEG time PU loc DEG NN AD VC time,,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，14小时）,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，14小时）,0_3 1_6-9,0_3 1_6-9,时间限定 实体信息陈述,时间限定 实体信息陈述,3 10,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 14小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 14 小时,VV NN DEG time PU loc DEG NN AD VC time,( (IP (NP (DNP (NP (CP (IP (VV 拍摄))) (NP (NN 照片))) (DEG 的)) (NP (NT 当天))) (PU ，) (NP (DNP (NP (NR 漠河)) (DEG 的)) (NP (NN 夜长))) (VP (ADVP (AD 约)) (VP (VC 为) (NP (NT 14小时))))) )
2-C,拍摄照片的当天，漠河的夜长约为	10小时,None,3 10,5,,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 10小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 10 小时,VV NN DEG time PU loc DEG NN AD VC time,,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，10小时）,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，10小时）,0_3 1_6-9,0_3 1_6-9,时间限定 实体信息陈述,时间限定 实体信息陈述,3 10,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 10小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 10 小时,VV NN DEG time PU loc DEG NN AD VC time,( (IP (NP (DNP (NP (CP (IP (VV 拍摄))) (NP (NN 照片))) (DEG 的)) (NP (NT 当天))) (PU ，) (NP (DNP (NP (NR 漠河)) (DEG 的)) (NP (NN 夜长))) (VP (ADVP (AD 约)) (VP (VC 为) (NP (NT 10小时))))) )
2-D,拍摄照片的当天，漠河的夜长约为	12小时,None,3 10,5,,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 12小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 12 小时,VV NN DEG time PU loc DEG NN AD VC time,,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，12小时）,时间限定_0（拍摄照片的当天）实体信息陈述_1（漠河，夜长，12小时）,0_3 1_6-9,0_3 1_6-9,时间限定 实体信息陈述,时间限定 实体信息陈述,3 10,,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 12小时,拍摄 照片 的 当天 ， 漠河 的 夜长 约 为 12 小时,VV NN DEG time PU loc DEG NN AD VC time,( (IP (NP (DNP (NP (CP (IP (VV 拍摄))) (NP (NN 照片))) (DEG 的)) (NP (NT 当天))) (PU ，) (NP (DNP (NP (NR 漠河)) (DEG 的)) (NP (NN 夜长))) (VP (ADVP (AD 约)) (VP (VC 为) (NP (NT 12小时))))) )
3-A,该船即将进入	巴拿马运河,None,,4,,,该 船 即将 进入 巴拿马运河,该 船 即将 进入 巴拿马 运河,DT NN AD VV loc,,实体信息陈述_0（该船，#，即将进入巴拿马运河）,实体信息陈述_0（该船，#，即将进入巴拿马运河）,0_2,0_2,实体信息陈述,实体信息陈述,,,该 船 即将 进入 巴拿马 运河,该 船 即将 进入 巴拿马运河,DT NN time VV loc,( (IP (NP (DP (DT 该)) (NP (NN 船))) (VP (ADVP (AD 即将)) (VP (VV 进入) (NP (NR 巴拿马运河))))) )
3-B,该船即将进入	麦哲伦海峡,None,,4,,,该 船 即将 进入 麦哲伦海峡,该 船 即将 进入 麦哲伦 海峡,DT NN AD VV loc,,实体信息陈述_0（该船，#，即将进入麦哲伦海峡）,实体信息陈述_0（该船，#，即将进入麦哲伦海峡）,0_2,0_2,实体信息陈述,实体信息陈述,,,该 船 即将 进入 麦哲伦 海峡,该 船 即将 进入 麦哲伦 海峡,DT NN time VV loc,( (IP (NP (DP (DT 该)) (NP (NN 船))) (VP (ADVP (AD 即将)) (VP (VV 进入) (NP (NR 麦哲伦海峡))))) )
3-C,该船即将进入	德雷克海峡,None,,4,,,该 船 即将 进入 德雷克海峡,该 船 即将 进入 德雷克 海峡,DT NN AD VV loc,,实体信息陈述_0（该船，#，即将进入德雷克海峡）,实体信息陈述_0（该船，#，即将进入德雷克海峡）,0_2,0_2,实体信息陈述,实体信息陈述,,,该 船 即将 进入 德雷克海峡,该 船 即将 进入 德雷克海峡,DT NN time VV loc,( (IP (NP (DP (DT 该)) (NP (NN 船))) (VP (ADVP (AD 即将)) (VP (VV 进入) (NP (NR 德雷克海峡))))) )
