编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2002年11月20日9时（北京时间），中国第19次南极科学考察队乘“雪龙号”自上海出发，此时长城站所在地的区时为	19日19时,None,0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日19时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日19时）,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日19时）,0_0-2 1_21-22-23,0_0-2 1_21-22-23,时间限定 实体信息陈述,时间限定 实体信息陈述,,,2002年11月20日9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,2002年 11月 20日 9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,( (IP (NP (NT 2002年11月20日9时)) (NP (PU （) (NN 北京时间) (PU ）)) (PU ，) (IP (NP (NP (NR 中国)) (QP (CD 第19次)) (NP (NP (NR 南极)) (NP (NN 科学) (NN 考察队)))) (VP (VP (VV 乘) (NP (PU “) (NN 雪龙号) (PU ”))) (VP (PP (P 自) (NP (NR 上海))) (VP (VV 出发))))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (NP (NR 长城站)) (NP (NN 所在地))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 19日19时))))) )
1-B,2002年11月20日9时（北京时间），中国第19次南极科学考察队乘“雪龙号”自上海出发，此时长城站所在地的区时为	20日5时,None,0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日5时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 5时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，20日5时）,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，20日5时）,0_0-2 1_21-22-23,0_0-2 1_21-22-23,时间限定 实体信息陈述,时间限定 实体信息陈述,,,2002年11月20日9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 5时,2002年 11月 20日 9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 5时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,( (IP (NP (NT 2002年11月20日9时)) (NP (PU （) (NN 北京时间) (PU ）)) (PU ，) (IP (NP (NP (NR 中国)) (QP (CD 第19次)) (NP (NP (NR 南极)) (NP (NN 科学) (NN 考察队)))) (VP (VP (VV 乘) (NP (PU “) (NN 雪龙号) (PU ”))) (VP (PP (P 自) (NP (NR 上海))) (VP (VV 出发))))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (NP (NR 长城站)) (NP (NN 所在地))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 20日5时))))) )
1-C,2002年11月20日9时（北京时间），中国第19次南极科学考察队乘“雪龙号”自上海出发，此时长城站所在地的区时为	19日21时,None,0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日21时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 21时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日21时）,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日21时）,0_0-2 1_21-22-23,0_0-2 1_21-22-23,时间限定 实体信息陈述,时间限定 实体信息陈述,,,2002年11月20日9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 21时,2002年 11月 20日 9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 21时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,( (IP (NP (NT 2002年11月20日9时)) (NP (PU （) (NN 北京时间) (PU ）)) (PU ，) (IP (NP (NP (NR 中国)) (QP (CD 第19次)) (NP (NP (NR 南极)) (NP (NN 科学) (NN 考察队)))) (VP (VP (VV 乘) (NP (PU “) (NN 雪龙号) (PU ”))) (VP (PP (P 自) (NP (NR 上海))) (VP (VV 出发))))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (NP (NR 长城站)) (NP (NN 所在地))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 19日21时))))) )
1-D,2002年11月20日9时（北京时间），中国第19次南极科学考察队乘“雪龙号”自上海出发，此时长城站所在地的区时为	20日21时,None,0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日21时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 21时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，20日21时）,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，20日21时）,0_0-2 1_21-22-23,0_0-2 1_21-22-23,时间限定 实体信息陈述,时间限定 实体信息陈述,,,2002年11月20日9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 21时,2002年 11月 20日 9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 21时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,( (IP (NP (NT 2002年11月20日9时)) (NP (PU （) (NN 北京时间) (PU ）)) (PU ，) (IP (NP (NP (NR 中国)) (QP (CD 第19次)) (NP (NP (NR 南极)) (NP (NN 科学) (NN 考察队)))) (VP (VP (VV 乘) (NP (PU “) (NN 雪龙号) (PU ”))) (VP (PP (P 自) (NP (NR 上海))) (VP (VV 出发))))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (NP (NR 长城站)) (NP (NN 所在地))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 20日21时))))) )
2-A,中山站到南极点的直线距离约为	2070千米,None,,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2070千米,中山站 到 南极点 的 直线 距离 约 为 2070 千米,loc CC loc DEG NN NN AD VC num,,实体信息陈述_0（中山站到南极点，直线距离，2070千米）,实体信息陈述_0（中山站到南极点，直线距离，2070千米）,0_3-7,0_3-7,实体信息陈述,实体信息陈述,,,中山站 到 南极点 的 直线 距离 约 为 2070 千米,中山站 到 南 极点 的 直线 距离 约 为 2070 千米,loc VV loc DEG NN NN AD VC num,( (IP (NP (DNP (NP (NR 中山站) (CC 到) (NR 南极点)) (DEG 的)) (NP (NN 直线) (NN 距离))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 2070千米))))) )
2-B,中山站到南极点的直线距离约为	2270千米,None,,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2270千米,中山站 到 南极点 的 直线 距离 约 为 2270 千米,loc CC loc DEG NN NN AD VC num,,实体信息陈述_0（中山站到南极点，直线距离，2270千米）,实体信息陈述_0（中山站到南极点，直线距离，2270千米）,0_3-7,0_3-7,实体信息陈述,实体信息陈述,,,中山站 到 南极点 的 直线 距离 约 为 2270 千米,中山站 到 南 极点 的 直线 距离 约 为 2270 千米,loc VV loc DEG NN NN AD VC num,( (IP (NP (DNP (NP (NR 中山站) (CC 到) (NR 南极点)) (DEG 的)) (NP (NN 直线) (NN 距离))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 2270千米))))) )
2-C,中山站到南极点的直线距离约为	2570千米,None,,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2570千米,中山站 到 南极点 的 直线 距离 约 为 2570 千米,loc CC loc DEG NN NN AD VC num,,实体信息陈述_0（中山站到南极点，直线距离，2570千米）,实体信息陈述_0（中山站到南极点，直线距离，2570千米）,0_3-7,0_3-7,实体信息陈述,实体信息陈述,,,中山站 到 南极点 的 直线 距离 约 为 2570 千米,中山站 到 南 极点 的 直线 距离 约 为 2570 千米,loc VV loc DEG NN NN AD VC num,( (IP (NP (DNP (NP (NR 中山站) (CC 到) (NR 南极点)) (DEG 的)) (NP (NN 直线) (NN 距离))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 2570千米))))) )
2-D,中山站到南极点的直线距离约为	2670千米,None,,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2670千米,中山站 到 南极点 的 直线 距离 约 为 2670 千米,loc CC loc DEG NN NN AD VC num,,实体信息陈述_0（中山站到南极点，直线距离，2670千米）,实体信息陈述_0（中山站到南极点，直线距离，2670千米）,0_3-7,0_3-7,实体信息陈述,实体信息陈述,,,中山站 到 南极点 的 直线 距离 约 为 2670 千米,中山站 到 南 极点 的 直线 距离 约 为 2670 千米,loc VV loc DEG NN NN AD VC num,( (IP (NP (DNP (NP (NR 中山站) (CC 到) (NR 南极点)) (DEG 的)) (NP (NN 直线) (NN 距离))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 2670千米))))) )
3-A,与中山站相比，长城站所在地	白昼时间长,None,,1 4,,,与 中山站 相比 ， 长城站 所在地 白昼 时间 长,与 中山站 相比 ， 长城站 所在地 白昼 时间 长,P loc VV PU loc NN NN NN VA,,比较_0（长城站所在地，中山站，白昼时间，长）,比较_0（长城站所在地，中山站，白昼时间，长）,0_0-2,0_0-2,比较,比较,,,与 中山站 相比 ， 长城站 所在地 白昼 时间 长,与 中山站 相比 ， 长城站 所在地 白昼 时间 长,P loc VV PU loc NN NN NN VA,( (IP (IP (VP (PP (P 与) (NP (NR 中山站))) (VP (VV 相比)))) (PU ，) (NP (NP (NR 长城站)) (NP (NN 所在地))) (NP (NN 白昼) (NN 时间)) (VP (VA 长))) )
3-B,与中山站相比，长城站所在地	自转速度慢,None,,1 4,6,,与 中山站 相比 ， 长城站 所在地 自转 速度 慢,与 中山站 相比 ， 长城站 所在地 自转 速度 慢,P loc VV PU loc NN term NN VA,,比较_0（长城站所在地，中山站，自转速度，慢）,比较_0（长城站所在地，中山站，自转速度，慢）,0_0-2,0_0-2,比较,比较,,,与 中山站 相比 ， 长城站 所在地 自转 速度 慢,与 中山站 相比 ， 长城站 所在地 自转 速度 慢,P loc VV PU loc NN term NN VA,( (IP (IP (VP (PP (P 与) (NP (NR 中山站))) (VP (VV 相比)))) (PU ，) (NP (NP (NR 长城站)) (NP (NN 所在地))) (NP (NN 自转) (NN 速度)) (VP (VA 慢))) )
3-C,与中山站相比，长城站所在地	自转周期长,None,,1 4,6,,与 中山站 相比 ， 长城站 所在地 自转 周期 长,与 中山站 相比 ， 长城站 所在地 自转 周期 长,P loc VV PU loc NN term NN VA,,比较_0（长城站所在地，中山站，自转周期，长）,比较_0（长城站所在地，中山站，自转周期，长）,0_0-2,0_0-2,比较,比较,,,与 中山站 相比 ， 长城站 所在地 自转 周期 长,与 中山站 相比 ， 长城站 所在地 自转 周期 长,P loc VV PU loc NN term NN VA,( (IP (IP (VP (PP (P 与) (NP (NR 中山站))) (VP (VV 相比)))) (PU ，) (NP (NP (NR 长城站)) (NP (NN 所在地))) (NP (NN 自转) (NN 周期)) (VP (VA 长))) )
