编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,雅典所处的自然带是	亚热带常绿阔叶林带,None,,0,3 5,,雅典 所处 的 自然带 是 亚热带常绿阔叶林带,雅典 所处 的 自然带 是 亚热带 常绿 阔叶林 带,loc VV DEC term VC term,,位于_0（雅典，亚热带常绿阔叶林带）,位于_0（雅典，亚热带常绿阔叶林带）,0_1,0_1,位于,位于,,,雅典 所处 的 自然带 是 亚热带常绿阔叶林带,雅典 所处 的 自然带 是 亚热带常绿阔叶林带,loc NN DEG term VC term,( (IP (NP (CP (IP (NP (NR 雅典)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 亚热带常绿阔叶林带)))) )
1-B,雅典所处的自然带是	亚热带常绿硬叶林带,None,,0,3 5,,雅典 所处 的 自然带 是 亚热带常绿硬叶林带,雅典 所处 的 自然带 是 亚热带 常绿 硬叶林 带,loc VV DEC term VC term,,位于_0（雅典，亚热带常绿硬叶林带）,位于_0（雅典，亚热带常绿硬叶林带）,0_1,0_1,位于,位于,,,雅典 所处 的 自然带 是 亚热带常绿硬叶林带,雅典 所处 的 自然带 是 亚热带常绿硬叶林带,loc NN DEG term VC term,( (IP (NP (CP (IP (NP (NR 雅典)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 亚热带常绿硬叶林带)))) )
1-C,雅典所处的自然带是	温带落叶阔叶林带,None,,0,3 5,,雅典 所处 的 自然带 是 温带落叶阔叶林带,雅典 所处 的 自然带 是 温带 落叶 阔叶林 带,loc VV DEC term VC term,,位于_0（雅典，温带落叶阔叶林带）,位于_0（雅典，温带落叶阔叶林带）,0_1,0_1,位于,位于,,,雅典 所处 的 自然带 是 温带落叶阔叶林带,雅典 所处 的 自然带 是 温带落叶阔叶林带,loc NN DEG term VC term,( (IP (NP (CP (IP (NP (NR 雅典)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 温带落叶阔叶林带)))) )
1-D,雅典所处的自然带是	温带混交林带,None,,0,3 5,,雅典 所处 的 自然带 是 温带混交林带,雅典 所处 的 自然带 是 温带 混交林 带,loc VV DEC term VC term,,位于_0（雅典，温带混交林带）,位于_0（雅典，温带混交林带）,0_1,0_1,位于,位于,,,雅典 所处 的 自然带 是 温带混交林带,雅典 所处 的 自然带 是 温带混交林带,loc NN DEG term VC term,( (IP (NP (CP (IP (NP (NR 雅典)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 温带混交林带)))) )
2-A,图中火炬传递的城市数	中纬度比低纬度多,None,,,8 11,,图 中 火炬 传递 的 城市 数 中 纬度 比 低 纬度 多,图 中 火炬 传递 的 城市 数 中 纬度 比 低 纬度 多,NN LC NN VV DEC NN NN JJ term P JJ term VA,,比较_0（中纬度，低纬度，图中火炬传递的城市数，#，多）,比较_0（中纬度，低纬度，图中火炬传递的城市数，#，多）,0_9,0_9,比较,比较,,,图 中 火炬 传递 的 城市 数 中 纬度 比 低 纬度 多,图 中 火炬 传递 的 城市 数 中 纬度 比 低 纬度 多,NN LC NN VV DEC NN NN LC term P JJ NN VA,( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN 火炬)) (VP (VV 传递))) (DEC 的)) (NP (NN 城市) (NN 数)) (ADJP (JJ 中)) (NP (NN 纬度))) (VP (PP (P 比) (NP (ADJP (JJ 低)) (NP (NN 纬度)))) (VP (VA 多)))) )
2-B,图中火炬传递的城市数	北半球比南半球少,None,,,7 9,,图 中 火炬 传递 的 城市 数 北半球 比 南半球 少,图 中 火炬 传递 的 城市 数 北半球 比 南半球 少,NN LC NN VV DEC NN NN term P term VA,,比较_0（北半球，南半球，图中火炬传递的城市数，#，少）,比较_0（北半球，南半球，图中火炬传递的城市数，#，少）,0_8,0_8,比较,比较,,,图 中 火炬 传递 的 城市 数 北半球 比 南半球 少,图 中 火炬 传递 的 城市 数 北半球 比 南半球 少,NN LC NN VV DEC NN NN term P term VA,( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN 火炬)) (VP (VV 传递))) (DEC 的)) (NP (NN 城市))) (NP (NN 数) (NN 北半球)) (VP (PP (P 比) (NP (NN 南半球))) (VP (VA 少)))) )
2-C,图中火炬传递的城市数	西半球比东半球多,None,,,7 9,,图 中 火炬 传递 的 城市 数 西半球 比 东半球 多,图 中 火炬 传递 的 城市 数 西半球 比 东半球 多,NN LC NN VV DEC NN NN term P term VA,,比较_0（西半球，东半球，图中火炬传递的城市数，#，多）,比较_0（西半球，东半球，图中火炬传递的城市数，#，多）,0_8,0_8,比较,比较,,,图 中 火炬 传递 的 城市 数 西半球 比 东半球 多,图 中 火炬 传递 的 城市 数 西半球 比 东半球 多,NN LC NN VV DEC NN NN term P term VA,( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN 火炬)) (VP (VV 传递))) (DEC 的)) (NP (NN 城市))) (NP (NN 数) (NN 西半球)) (VP (PP (P 比) (NP (NN 东半球))) (VP (VA 多)))) )
2-D,图中火炬传递的城市数	南美洲比北美洲少,None,,7 9,,,图 中 火炬 传递 的 城市 数 南美洲 比 北美洲 少,图 中 火炬 传递 的 城市 数 南美洲 比 北美洲 少,NN LC NN VV DEC NN NN loc P loc VA,,比较_0（南美洲，北美洲，图中火炬传递的城市数，#，少）,比较_0（南美洲，北美洲，图中火炬传递的城市数，#，少）,0_8,0_8,比较,比较,,,图 中 火炬 传递 的 城市 数 南美洲 比 北美洲 少,图 中 火炬 传递 的 城市 数 南美洲 比 北美洲 少,NN LC NN VV DEC NN NN loc P loc VA,( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN 火炬)) (VP (VV 传递))) (DEC 的)) (NP (NN 城市) (NN 数)) (NP (NR 南美洲))) (VP (PP (P 比) (NP (NR 北美洲))) (VP (VA 少)))) )
3-A,当火炬传递到	①地时，当地正午太阳高度为全年最大,n,,4,8,,当 火炬 传递 到 ①地 时 ， 当地 正午太阳高度 为 全年 最 大,当 火炬 传递 到 ①地 时 ， 当地 正午 太阳 高度 为 全年 最 大,P NN VV VV loc LC PU NN term VC NN AD VA,,时间限定_0（当火炬传递到 ①地）最值_1（①地，正午太阳高度角，大，全年）,时间限定_0（当火炬传递到 ①地）最值_1（①地，正午太阳高度角，大，全年）,0_0-5 1_11,0_0-5 1_11,时间限定 最值,时间限定 最值,,,当 火炬 传递 到 ①地 时 ， 当地 正午太阳高度 为 全年 最 大,当 火炬 传递 到 ①地 时 ， 当地 正午太阳高度 为 全年 最 大,P NN VV VV loc LC PU NN term VV NN AD VA,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ①地))))) (LC 时))) (PU ，) (NP (NN 当地) (NN 正午太阳高度)) (VP (VP (VC 为) (NP (NN 全年))) (VP (ADVP (AD 最)) (VP (VA 大))))) )
3-B,当火炬传递到	③地时，当地黑夜比白昼长,n,,4,,,当 火炬 传递 到 ③地 时 ， 当地 黑夜 比 白昼 长,当 火炬 传递 到 ③地 时 ， 当地 黑夜 比 白昼 长,P NN VV VV loc LC PU NN NN P NN VA,,时间限定_0（当火炬传递到 ③地）比较_1（当地，当地，黑夜，白昼，长）,时间限定_0（当火炬传递到 ③地）比较_1（当地，当地，黑夜，白昼，长）,0_0-5 1_9-11,0_0-5 1_9-11,时间限定 比较,时间限定 比较,,,当 火炬 传递 到 ③地 时 ， 当地 黑夜 比 白昼 长,当 火炬 传递 到 ③地 时 ， 当地 黑夜 比 白昼 长,P NN VV VV loc LC PU NN NN P NN VA,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ③地))))) (LC 时))) (PU ，) (NP (NN 当地) (NN 黑夜)) (VP (PP (P 比) (NP (NN 白昼))) (VP (VA 长)))) )
