编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图中指示山脊和山谷的分别是	①和②,None,,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN,,匹配_0（山脊，①）匹配_1（山谷，②）,匹配_0（山脊，①）匹配_1（山谷，②）,0_7-8 1_7-8,0_7-8 1_7-8,匹配 匹配,匹配 匹配,,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN,( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ①) (CC 和) (NN ②))))) )
1-B,图中指示山脊和山谷的分别是	②和③,None,,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,NN LC VV term CC term DEG AD VC NN CC NN,,匹配_0（山脊，②）匹配_1（山谷，③）,匹配_0（山脊，②）匹配_1（山谷，③）,0_7-8 1_7-8,0_7-8 1_7-8,匹配 匹配,匹配 匹配,,,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,NN LC VV term CC term DEG AD VC NN CC NN,( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ②) (CC 和) (NN ③))))) )
1-C,图中指示山脊和山谷的分别是	③和④,None,,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,NN LC VV term CC term DEG AD VC NN CC NN,,匹配_0（山脊，③）匹配_1（山谷，④）,匹配_0（山脊，③）匹配_1（山谷，④）,0_7-8 1_7-8,0_7-8 1_7-8,匹配 匹配,匹配 匹配,,,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,NN LC VV term CC term DEG AD VC NN CC NN,( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ③) (CC 和) (NN ④))))) )
1-D,图中指示山脊和山谷的分别是	④和⑤,None,,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,NN LC VV term CC term DEG AD VC NN CC NN,,匹配_0（山脊，④）匹配_1（山谷，⑤）,匹配_0（山脊，④）匹配_1（山谷，⑤）,0_7-8 1_7-8,0_7-8 1_7-8,匹配 匹配,匹配 匹配,,,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,NN LC VV term CC term DEG AD VC NN CC NN,( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ④) (CC 和) (NN ⑤))))) )
2-A,八达岭地区花岗岩从形成到出露所经历的地质过程依次是	固结成岩—风化剥蚀—侵蚀搬运—地壳抬升,None,,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结成岩 — 风化剥蚀 — 侵蚀搬运 — 地壳抬升,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结 成岩 — 风化 剥蚀 — 侵蚀 搬运 — 地壳 抬升,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，固结成岩—风化剥蚀—侵蚀搬运—地壳抬升）,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（固结成岩，风化剥蚀，侵蚀搬运，地壳抬升））,0_12,0_12 1_14-16-18,实体信息陈述,实体信息陈述,,15 17,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 固结成岩 — 风化 剥蚀 — 侵蚀 搬运 — 地壳 抬升,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 固结成岩 — 风化 剥蚀 — 侵蚀 搬运 — 地壳 抬升,NR term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 固结成岩) (PU —) (NN 风化剥蚀) (PU —) (NN 侵蚀搬运) (PU —) (NN 地壳抬升))))) )
2-B,八达岭地区花岗岩从形成到出露所经历的地质过程依次是	地壳抬升—侵蚀搬运—岩浆侵入—风化剥蚀,None,,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳抬升 — 侵蚀搬运 — 岩浆侵入 — 风化剥蚀,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳 抬升 — 侵蚀 搬运 — 岩浆 侵入 — 风化 剥蚀,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，地壳抬升—侵蚀搬运—岩浆侵入—风化剥蚀）,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（地壳抬升，侵蚀搬运，岩浆侵入，风化剥蚀））,0_12,0_12 1_14-16-18,实体信息陈述,实体信息陈述,,15 17,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 地壳 抬升 — 侵蚀 搬运 — 岩浆侵入 — 风化 剥蚀,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 地壳 抬升 — 侵蚀 搬运 — 岩浆侵入 — 风化 剥蚀,NR term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 地壳抬升) (PU —) (NN 侵蚀搬运) (PU —) (NN 岩浆侵入) (PU —) (NN 风化剥蚀))))) )
2-C,八达岭地区花岗岩从形成到出露所经历的地质过程依次是	岩浆侵入—地壳抬升—风化剥蚀—侵蚀搬运,None,,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳抬升 — 风化剥蚀 — 侵蚀搬运,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆 侵入 — 地壳 抬升 — 风化 剥蚀 — 侵蚀 搬运,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，岩浆侵入—地壳抬升—风化剥蚀—侵蚀搬运）,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（岩浆侵入，地壳抬升，风化剥蚀，侵蚀搬运））,0_12,0_12 1_14-16-18,实体信息陈述,实体信息陈述,,15 17,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳 抬升 — 风化 剥蚀 — 侵蚀 搬运,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳 抬升 — 风化 剥蚀 — 侵蚀 搬运,NR term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 岩浆侵入) (PU —) (NN 地壳抬升) (PU —) (NN 风化剥蚀) (PU —) (NN 侵蚀搬运))))) )
2-D,八达岭地区花岗岩从形成到出露所经历的地质过程依次是	侵蚀搬运—岩浆侵入—地壳抬升—固结成岩,None,,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀搬运 — 岩浆侵入 — 地壳抬升 — 固结成岩,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀 搬运 — 岩浆 侵入 — 地壳 抬升 — 固结 成岩,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，侵蚀搬运—岩浆侵入—地壳抬升—固结成岩）,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（侵蚀搬运，岩浆侵入，地壳抬升，固结成岩））,0_12,0_12 1_14-16-18,实体信息陈述,实体信息陈述,,15 17,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 侵蚀 搬运 — 岩浆侵入 — 地壳 抬升 — 固结成岩,八达岭 地区 花岗岩 从 形成 到 出露所 经历 的 地质 过程 依次 是 侵蚀 搬运 — 岩浆侵入 — 地壳 抬升 — 固结成岩,NR term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term,( (IP (NP (NR 八达岭地区) (NN 花岗岩)) (VP (PP (P 从) (IP (VP (VV 形成) (NP (CP (IP (VP (PP (P 到) (IP (VP (VV 出露)))) (VP (MSP 所) (VP (VV 经历))))) (DEC 的)) (NP (NN 地质) (NN 过程)))))) (ADVP (AD 依次)) (VP (VC 是) (NP (NN 侵蚀搬运) (PU —) (NN 岩浆侵入) (PU —) (NN 地壳抬升) (PU —) (NN 固结成岩))))) )
3-A,经纬网的纬线间距为	3°,None,,,0 2,5,经纬网 的 纬线 间距 为 3°,经纬网 的 纬线 间距 为 3°,term DEG term NN VC num,,实体信息陈述_0（经纬网，纬线间距，3°）,实体信息陈述_0（经纬网，纬线间距，3°）,0_1-4,0_1-4,实体信息陈述,实体信息陈述,,,经纬网 的 纬线 间距 为 3°,经纬网 的 纬线 间距 为 3°,term DEG term NN VC num,( (IP (NP (DNP (NP (NN 经纬网)) (DEG 的)) (NP (NN 纬线) (NN 间距))) (VP (VC 为) (QP (CD 3°)))) )
3-B,经纬网的纬线间距为	5°,None,,,0 2,5,经纬网 的 纬线 间距 为 5°,经纬网 的 纬线 间距 为 5°,term DEG term NN VC num,,实体信息陈述_0（经纬网，纬线间距，5°）,实体信息陈述_0（经纬网，纬线间距，5°）,0_1-4,0_1-4,实体信息陈述,实体信息陈述,,,经纬网 的 纬线 间距 为 5°,经纬网 的 纬线 间距 为 5°,term DEG term NN VC num,( (IP (NP (DNP (NP (NN 经纬网)) (DEG 的)) (NP (NN 纬线) (NN 间距))) (VP (VC 为) (QP (CD 5°)))) )
3-C,经纬网的纬线间距为	8°,None,,,0 2,5,经纬网 的 纬线 间距 为 8°,经纬网 的 纬线 间距 为 8°,term DEG term NN VC num,,实体信息陈述_0（经纬网，纬线间距，8°）,实体信息陈述_0（经纬网，纬线间距，8°）,0_1-4,0_1-4,实体信息陈述,实体信息陈述,,,经纬网 的 纬线 间距 为 8°,经纬网 的 纬线 间距 为 8°,term DEG term NN VC num,( (IP (NP (DNP (NP (NN 经纬网)) (DEG 的)) (NP (NN 纬线) (NN 间距))) (VP (VC 为) (QP (CD 8°)))) )
