编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,北京该中学调整作息时间的主要依据是	气温高低,None,,0,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 气温 高低,北京 该 中学 调整 作息 时间 的 主要 依据 是 气温 高低,loc DT NN VV NN NN DEC JJ NN VC NN NN,,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，气温高低）,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，气温高低）,,,实体信息陈述,实体信息陈述,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 气温 高低,北京 该 中学 调整 作息 时间 的 主要 依据 是 气温 高低,loc DT NN VV NN NN DEG JJ NN VC NN VA,( (IP (NP (CP (IP (NP (NP (NR 北京)) (DP (DT 该)) (NP (NN 中学))) (VP (VV 调整) (NP (NN 作息) (NN 时间)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 依据))) (VP (VC 是) (NP (NN 气温) (NN 高低)))) )
1-B,北京该中学调整作息时间的主要依据是	太阳高度,None,,0,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 太阳 高度,北京 该 中学 调整 作息 时间 的 主要 依据 是 太阳 高度,loc DT NN VV NN NN DEC JJ NN VC NN NN,,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，太阳高度）,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，太阳高度）,,,实体信息陈述,实体信息陈述,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 太阳 高度,北京 该 中学 调整 作息 时间 的 主要 依据 是 太阳 高度,loc DT NN VV NN NN DEG JJ NN VC NN NN,( (IP (NP (NP (NR 北京)) (DP (DT 该)) (NP (NN 中学))) (NP (CP (IP (VP (VV 调整) (NP (NN 作息) (NN 时间)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 依据))) (VP (VC 是) (NP (NN 太阳) (NN 高度)))) )
1-C,北京该中学调整作息时间的主要依据是	经度差异,None,,0,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 经度 差异,北京 该 中学 调整 作息 时间 的 主要 依据 是 经度 差异,loc DT NN VV NN NN DEC JJ NN VC NN NN,,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，经度差异）,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，经度差异）,,,实体信息陈述,实体信息陈述,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 经度 差异,北京 该 中学 调整 作息 时间 的 主要 依据 是 经度 差异,loc DT NN VV NN NN DEG JJ NN VC NN NN,( (IP (NP (NP (NR 北京)) (DP (DT 该)) (NP (NN 中学))) (NP (CP (IP (VP (VV 调整) (NP (NN 作息) (NN 时间)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 依据))) (VP (VC 是) (NP (NN 经度) (NN 差异)))) )
1-D,北京该中学调整作息时间的主要依据是	昼夜长短,None,,0,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 昼夜 长短,北京 该 中学 调整 作息 时间 的 主要 依据 是 昼夜 长短,loc DT NN VV NN NN DEC JJ NN VC NN NN,,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，昼夜长短）,实体信息陈述_0（北京该中学，调整作息时间的主要依据是，昼夜长短）,,,实体信息陈述,实体信息陈述,,,北京 该 中学 调整 作息 时间 的 主要 依据 是 昼夜 长短,北京 该 中学 调整 作息 时间 的 主要 依据 是 昼夜 长短,loc DT NN VV NN NN DEG JJ NN VC NN VA,( (IP (NP (CP (IP (NP (NP (NR 北京)) (DP (DT 该)) (NP (NN 中学))) (VP (VV 调整) (NP (NN 作息) (NN 时间)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 依据))) (VP (VC 是) (NP (NN 昼夜) (NN 长短)))) )
2-A,材料中所涉及的我国某城市可能位于	东南地区,None,,10,,,材料 中 所 涉及 的 我国 某 城市 可能 位于 东南地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 东南 地区,NN LC MSP VV DEC NN DT NN VV VV loc,,位于_0（材料中所涉及的我国某城市，东南地区）,位于_0（材料中所涉及的我国某城市，东南地区）,0_9,0_9,位于,位于,,10,材料 中 所 涉及 的 我国 某 城市 可能 位于 东南 地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 东南 地区,NN LC MSP VV DEC NR DT NN VV VV loc,( (IP (NP (CP (IP (VP (LCP (NP (NN 材料)) (LC 中)) (VP (MSP 所) (VP (VV 涉及))))) (DEC 的)) (NP (NN 我国))) (VP (NP (DP (DT 某)) (NP (NN 城市))) (VP (VV 可能) (VP (VV 位于) (NP (NR 东南地区)))))) )
2-B,材料中所涉及的我国某城市可能位于	西北地区,None,,10,,,材料 中 所 涉及 的 我国 某 城市 可能 位于 西北地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 西北 地区,NN LC MSP VV DEC NN DT NN VV VV loc,,位于_0（材料中所涉及的我国某城市，西北地区）,位于_0（材料中所涉及的我国某城市，西北地区）,0_9,0_9,位于,位于,,10,材料 中 所 涉及 的 我国 某 城市 可能 位于 西北 地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 西北 地区,NN LC MSP VV DEC NR DT NN VV VV loc,( (IP (NP (CP (IP (VP (LCP (NP (NN 材料)) (LC 中)) (VP (MSP 所) (VP (VV 涉及))))) (DEC 的)) (NP (NN 我国))) (VP (NP (DP (DT 某)) (NP (NN 城市))) (VP (VV 可能) (VP (VV 位于) (NP (NR 西北地区)))))) )
2-C,材料中所涉及的我国某城市可能位于	华北地区,None,,10,,,材料 中 所 涉及 的 我国 某 城市 可能 位于 华北地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 华北 地区,NN LC MSP VV DEC NN DT NN VV VV loc,,位于_0（材料中所涉及的我国某城市，华北地区）,位于_0（材料中所涉及的我国某城市，华北地区）,0_9,0_9,位于,位于,,10,材料 中 所 涉及 的 我国 某 城市 可能 位于 华北 地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 华北 地区,NN LC MSP VV DEC NR DT NN VV VV loc,( (IP (NP (CP (IP (VP (LCP (NP (NN 材料)) (LC 中)) (VP (MSP 所) (VP (VV 涉及))))) (DEC 的)) (NP (NN 我国))) (VP (NP (DP (DT 某)) (NP (NN 城市))) (VP (VV 可能) (VP (VV 位于) (NP (NR 华北地区)))))) )
2-D,材料中所涉及的我国某城市可能位于	东北地区,None,,10,,,材料 中 所 涉及 的 我国 某 城市 可能 位于 东北地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 东北 地区,NN LC MSP VV DEC NN DT NN VV VV loc,,位于_0（材料中所涉及的我国某城市，东北地区）,位于_0（材料中所涉及的我国某城市，东北地区）,0_9,0_9,位于,位于,,10,材料 中 所 涉及 的 我国 某 城市 可能 位于 东北 地区,材料 中 所 涉及 的 我国 某 城市 可能 位于 东北 地区,NN LC MSP VV DEC NR DT NN VV VV loc,( (IP (NP (CP (IP (VP (LCP (NP (NN 材料)) (LC 中)) (VP (MSP 所) (VP (VV 涉及))))) (DEC 的)) (NP (NN 我国))) (VP (NP (DP (DT 某)) (NP (NN 城市))) (VP (VV 可能) (VP (VV 位于) (NP (NR 东北地区)))))) )
3-A,材料中的弱冷空气表现为	东南风,None,,,7,,材料 中 的 弱 冷空气 表现 为 东南风,材料 中 的 弱 冷空气 表现 为 东南风,NN LC DEG JJ NN VV VV term,,实体信息陈述_0（材料中的弱冷空气，表现为，东南风）,实体信息陈述_0（材料中的弱冷空气，表现为，东南风）,,,实体信息陈述,实体信息陈述,,,材料 中 的 弱 冷空气 表现 为 东南风,材料 中 的 弱 冷空气 表现 为 东南风,NN LC DEG JJ NN VV VV term,( (IP (NP (DNP (LCP (NP (NN 材料)) (LC 中)) (DEG 的)) (ADJP (JJ 弱)) (NP (NN 冷空气))) (VP (VRD (VV 表现) (VV 为)) (NP (NN 东南风)))) )
3-B,材料中的弱冷空气表现为	偏北风,None,,,7,,材料 中 的 弱 冷空气 表现 为 偏北风,材料 中 的 弱 冷空气 表现 为 偏北风,NN LC DEG JJ NN VV VV term,,实体信息陈述_0（材料中的弱冷空气，表现为，偏北风）,实体信息陈述_0（材料中的弱冷空气，表现为，偏北风）,,,实体信息陈述,实体信息陈述,,,材料 中 的 弱 冷空气 表现 为 偏北 风,材料 中 的 弱 冷空气 表现 为 偏北 风,NN LC DEG JJ NN VV VV term,( (IP (NP (DNP (LCP (NP (NN 材料)) (LC 中)) (DEG 的)) (ADJP (JJ 弱)) (NP (NN 冷空气))) (VP (VRD (VV 表现) (VV 为)) (NP (NN 偏北风)))) )
