编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,在7、8月份，伦敦比北京	气温高，日较差大,y,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,P time PU loc P loc NN VA PU NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）比较_2（伦敦，北京，气温日较差，大）,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）比较_2（伦敦，北京，气温日较差，大）,1_4-7 2_4-10,1_4-7 2_4-10,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,P time PU loc P loc NN VA PU NR JJ,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (IP (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京) (NN 气温))) (VP (VA 高)))) (PU ，) (IP (NP (NN 日较差)) (VP (VA 大)))) )
1-A-0,在7、8月份，伦敦比北京	气温高,ed-ori,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 气温 高,在 7 、 8月份 ， 伦敦 比 北京 气温 高,P time PU loc P loc NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）,1_4-7,1_4-7,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 气温 高,在 7 、 8月份 ， 伦敦 比 北京 气温 高,P time PU loc P loc NN VA,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京) (NN 气温))) (VP (VA 高)))) )
1-A-1,在7、8月份，伦敦比北京	气温日较差大,ed-mod,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 气温 日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温 日较差 大,P time PU loc P loc NN NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温日较差，大）,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温日较差，大）,1_4-8,1_4-8,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 气温日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温日较差 大,P time PU loc P loc VV NR JJ,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (VP (PP (P 比) (NP (NP (NR 北京)) (NP (NN 气温) (NN 日较差)))) (VP (VA 大)))) )
1-B,在7、8月份，伦敦比北京	风小雾大，降水多,y,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 风 小 雾 大 ， 降水 多,在 7 、 8月份 ， 伦敦 比 北京 风 小 雾 大 ， 降水 多,P time PU loc P loc NN VA NN VA PU VV VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，风，小）比较_2（伦敦，北京，雾，大）比较_3（伦敦，北京，降水，多）,时间限定_0（在7、8月份）比较_1（伦敦，北京，风，小）比较_2（伦敦，北京，雾，大）比较_3（伦敦，北京，降水，多）,1_4-6 2_4-8 3_4-12,1_4-6 2_4-8 3_4-12,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 风 小雾 大 ， 降水 多,在 7 、 8月份 ， 伦敦 比 北京 风 小雾 大 ， 降水 多,P time PU loc P loc NN JJ NN VA PU VV VA,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (PP (P 比) (NP (NR 北京))) (IP (NP (NN 风)) (VP (VA 小))) (IP (NP (NN 雾)) (VP (VA 大))) (PU ，) (IP (VP (IP (VP (VV 降水))) (VP (VA 多))))) )
1-B-0,在7、8月份，伦敦比北京	风小雾大,ed-ori,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 风 小 雾 大,在 7 、 8月份 ， 伦敦 比 北京 风 小 雾 大,P time PU loc P loc NN VA NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，风，小）比较_2（伦敦，北京，雾，大）,时间限定_0（在7、8月份）比较_1（伦敦，北京，风，小）比较_2（伦敦，北京，雾，大）,1_4-6 2_4-9,1_4-6 2_4-9,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 风 小雾 大,在 7 、 8月份 ， 伦敦 比 北京 风 小雾 大,P time PU loc P loc NN JJ NN VA,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (PP (P 比) (NP (NR 北京))) (IP (NP (NN 风)) (VP (VA 小))) (IP (NP (NN 雾)) (VP (VA 大)))) )
1-B-1,在7、8月份，伦敦比北京	降水多,ed-ori,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 降水 多,在 7 、 8月份 ， 伦敦 比 北京 降水 多,P time PU loc P loc VV VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，降水，多）,时间限定_0（在7、8月份）比较_1（伦敦，北京，降水，多）,1_4-7,1_4-7,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 降水 多,在 7 、 8月份 ， 伦敦 比 北京 降水 多,P time PU loc P loc VV VA,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京))) (VP (VP (VV 降水)) (VP (VA 多))))) )
1-C,在7、8月份，伦敦比北京	正午太阳高度角小,None,1,3 5,6,,在 7、8月份 ， 伦敦 比 北京 正午太阳高度角 小,在 7 、 8月份 ， 伦敦 比 北京 正午 太阳 高度 角 小,P time PU loc P loc term VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，正午太阳高度角，小）,时间限定_0（在7、8月份）比较_1（伦敦，北京，正午太阳高度角，小）,1_4-7,1_4-7,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 正午太阳高度角 小,在 7 、 8月份 ， 伦敦 比 北京 正午太阳高度角 小,P time PU loc P loc term JJ,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京) (NN 正午太阳高度角))) (VP (VA 小)))) )
1-D,在7、8月份，伦敦比北京	日出晚，昼短夜长,y,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 日出 晚 ， 昼 短 夜 长,在 7 、 8月份 ， 伦敦 比 北京 日出 晚 ， 昼 短 夜 长,P time PU loc P loc VV NN PU NN VA NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，日出，晚）比较_2（伦敦，北京，昼，短）比较_3（伦敦，北京，夜，长）,时间限定_0（在7、8月份）比较_1（伦敦，北京，日出，晚）比较_2（伦敦，北京，昼，短）比较_3（伦敦，北京，夜，长）,1_4-7 2_4-10 3_4-12,1_4-7 2_4-10 3_4-12,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 日出 晚 ， 昼短 夜长,在 7 、 8月份 ， 伦敦 比 北京 日出 晚 ， 昼短 夜长,P time PU loc P loc VV NN PU VV NN,( (IP (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京))) (VP (VV 日出) (NP (NN 晚))))) (PU ，) (IP (NP (NN 昼)) (VP (VA 短))) (IP (NP (NN 夜)) (VP (VA 长)))) )
1-D-0,在7、8月份，伦敦比北京	日出晚,ed-ori,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 日出 晚,在 7 、8月份 ， 伦敦 比 北京 日出 晚,P time PU loc P loc VV VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，日出，晚）,时间限定_0（在7、8月份）比较_1（伦敦，北京，日出，晚）,1_4-7,1_4-7,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 日出 晚,在 7 、 8月份 ， 伦敦 比 北京 日出 晚,P time PU loc P loc VV NN,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京))) (VP (VP (VV 日出)) (VP (VA 晚))))) )
1-D-1,在7、8月份，伦敦比北京	昼短夜长,ed-ori,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 昼 短 夜 长,在 7 、 8月份 ， 伦敦 比 北京 昼 短 夜 长,P time PU loc P loc NN VA NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，昼，短）比较_2（伦敦，北京，夜，长）,时间限定_0（在7、8月份）比较_1（伦敦，北京，昼，短）比较_2（伦敦，北京，夜，长）,1_4-7 2_4-9,1_4-7 2_4-9,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 昼短 夜长,在 7 、 8月份 ， 伦敦 比 北京 昼短 夜长,P time PU loc P loc VV NN,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (IP (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京) (NN 昼))) (VP (VA 短)))) (IP (NP (NN 夜)) (VP (VA 长)))) )
2-A,英国	地处亚欧板块和美洲板块交界处,None,,0,2 4,,英国 地处 亚欧板块 和 美洲板块 交界处,英国 地处 亚欧 板块 和 美洲 板块 交界处,loc VV term CC term NN,,位于_0（英国，亚欧板块和美洲板块交界处）,位于_0（英国，亚欧板块和美洲板块交界处）,0_1,0_1,位于,位于,,0,英国 地处 亚欧板块 和 美洲板块 交界 处,英国 地处 亚欧板块 和 美洲板块 交界 处,loc VV term CC term NN NN,( (IP (NP (NR 英国)) (VP (VV 地处) (NP (NP (NN 亚欧板块) (CC 和) (NN 美洲板块)) (NP (NN 交界处))))) )
