编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,该日，荷兰比北京	自转线速度快,None,,3 5,6,,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转 线速度 快,DT NN PU loc P loc term VA,,比较_0（荷兰，北京，自转线速度，快）,比较_0（荷兰，北京，自转线速度，快）,0_4,0_4,比较,比较,,3 5 6,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转线速度 快,DT M PU loc P loc term VA,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 自转线速度))) (VP (VA 快)))) )
1-B,该日，荷兰比北京	先看到日出,None,,3 5,,,该 日 ， 荷兰 比 北京 先 看到 日出,该 日 ， 荷兰 比 北京 先 看到 日出,DT NN PU loc P loc AD VV NN,,比较_0（荷兰，北京，日出，先）,比较_0（荷兰，北京，日出，先）,0_4,0_4,比较,比较,,3 5,该 日 ， 荷兰 比 北京 先 看到 日出,该 日 ， 荷兰 比 北京 先 看到 日出,DT M PU loc P loc AD VV VV,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京))) (ADVP (AD 先)) (VP (VV 看到) (NP (NN 日出))))) )
1-C,该日，荷兰比北京	正午太阳高度角小,None,,3 5,6,,该 日 ， 荷兰 比 北京 正午太阳高度角 小,该 日 ， 荷兰 比 北京 正午 太阳 高度 角 小,DT NN PU loc P loc term VA,,比较_0（荷兰，北京，正午太阳高度角，小）,比较_0（荷兰，北京，正午太阳高度角，小）,0_4,0_4,比较,比较,,3 5,该 日 ， 荷兰 比 北京 正午太阳高度角 小,该 日 ， 荷兰 比 北京 正午太阳高度角 小,DT M PU loc P loc term JJ,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 正午太阳高度角))) (VP (VA 小)))) )
1-D,该日，荷兰比北京	昼更短，夜更长,y,,3 5,,,该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长,该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长,DT NN PU loc P loc NN AD VA PU NN AD VA,,比较_0（荷兰，北京，昼，短）比较_1（荷兰，北京，夜，长）,比较_0（荷兰，北京，昼，短）比较_1（荷兰，北京，夜，长）,0_4 1_4,0_4 1_4,比较,比较,,3 5,该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长,该 日 ， 荷兰 比 北京 昼 更 短 ， 夜 更 长,DT M PU loc P loc VV AD VA PU NN AD VA,( (IP (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 昼))) (ADVP (AD 更)) (VP (VA 短)))) (PU ，) (NP (NN 夜)) (VP (ADVP (AD 更)) (VP (VA 长)))) )
1-D-0,该日，荷兰比北京	昼更短,ed-ori,,3 5,,,该 日 ， 荷兰 比 北京 昼 更 短,该 日 ， 荷兰 比 北京 昼 更 短,DT NN PU loc P loc NN AD VA,,比较_0（荷兰，北京，昼，短）,比较_0（荷兰，北京，昼，短）,0_4,0_4,比较,比较,,3 5,该 日 ， 荷兰 比 北京 昼 更 短,该 日 ， 荷兰 比 北京 昼 更 短,DT M PU loc P loc VV AD VA,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 昼))) (ADVP (AD 更)) (VP (VA 短)))) )
1-D-1,该日，荷兰比北京	夜更长,ed-ori,,3 5,,,该 日 ， 荷兰 比 北京 夜 更 长,该 日 ， 荷兰 比 北京 夜 更 长,DT NN PU loc P loc NN AD VA,,比较_0（荷兰，北京，夜，长）,比较_0（荷兰，北京，夜，长）,0_4,0_4,比较,比较,,3 5,该 日 ， 荷兰 比 北京 夜 更 长,该 日 ， 荷兰 比 北京 夜 更 长,DT M PU loc P loc NN AD VA,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 夜))) (ADVP (AD 更)) (VP (VA 长)))) )
2-A,荷兰	地处板块交界处，多地震,y,,0,6,,荷兰 地处 板块 交界处 ， 多 地震,荷兰 地处 板块 交界处 ， 多 地震,loc VV NN NN PU JJ term,,位于_0（荷兰，板块交界处）实体信息陈述_1（荷兰，多地震）,位于_0（荷兰，板块交界处）实体信息陈述_1（荷兰，多地震）,0_1,0_1,位于 实体信息陈述,位于 实体信息陈述,,0,荷兰 地处 板块 交界处 ， 多 地震,荷兰 地处 板块 交界处 ， 多 地震,loc VV NN NN PU AD term,( (IP (NP (NR 荷兰)) (VP (VV 地处) (NP (NP (NN 板块)) (NP (NN 交界处)) (PU ，) (ADJP (JJ 多)) (NP (NN 地震))))) )
2-A-0,荷兰	地处板块交界处,ed-ori,,0,,,荷兰 地处 板块 交界 处,荷兰 地处 板块 交界 处,loc VV NN NN NN,,位于_0（荷兰，板块交界处）,位于_0（荷兰，板块交界处）,0_1,0_1,位于,位于,,0,荷兰 地处 板块 交界 处,荷兰 地处 板块 交界 处,loc VV NN NN NN,( (IP (NP (NR 荷兰)) (VP (VV 地处) (NP (NP (NN 板块)) (NP (NN 交界) (NN 处))))) )
2-A-1,荷兰	多地震,ed-ori,,0,2,,荷兰 多 地震,荷兰 多 地震,loc JJ term,,实体信息陈述_0（荷兰，多地震）,实体信息陈述_0（荷兰，多地震）,,,实体信息陈述,实体信息陈述,,0,荷兰 多 地震,荷兰 多 地震,loc JJ term,( (NP (NP (NR 荷兰)) (ADJP (JJ 多)) (NP (NN 地震))) )
2-B,荷兰	海岸线曲折，珊瑚礁发育好,y,,0,,,荷兰 海岸线 曲折 ， 珊瑚礁 发育 好,荷兰 海岸线 曲折 ， 珊瑚礁 发育 好,loc NN VA PU NN VV VA,,实体信息陈述_0（荷兰，海岸线，曲折）实体信息陈述_1（荷兰，珊瑚礁，发育好）,实体信息陈述_0（荷兰，海岸线，曲折）实体信息陈述_1（荷兰，珊瑚礁，发育好）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,0,荷兰 海岸线 曲折 ， 珊瑚礁 发育 好,荷兰 海岸线 曲折 ， 珊瑚礁 发育 好,loc NN VA PU NN VV VA,( (IP (IP (NP (NR 荷兰)) (NP (NN 海岸线)) (VP (VA 曲折))) (PU ，) (IP (NP (NN 珊瑚礁)) (VP (VRD (VV 发育) (VA 好))))) )
2-B-0,荷兰	海岸线曲折,ed-ori,,0,,,荷兰 海岸线 曲折,荷兰 海岸线 曲折,loc NN VA,,实体信息陈述_0（荷兰，海岸线，曲折）,实体信息陈述_0（荷兰，海岸线，曲折）,,,实体信息陈述,实体信息陈述,,0,荷兰 海岸线 曲折,荷兰 海岸线 曲折,loc NN VA,( (IP (NP (NR 荷兰)) (NP (NN 海岸线)) (VP (VA 曲折))) )
