编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图l中，圣若阿金地区	终年受赤道低压带控制，降水多,y,,4,7,,图 l 中 ， 圣若阿金地区 终年 受 赤道低压带 控制 ， 降水 多,图 l 中 ， 圣若阿金 地区 终年 受 赤道 低压 带 控制 ， 降水 多,NN NN LC PU loc AD VV term NN PU NN VA,,一般陈述_0（图l中，圣若阿金地区 终年受赤道低压带控制）实体信息陈述_1（圣若阿金地区，降水，多）,一般陈述_0（图l中，圣若阿金地区 终年受赤道低压带控制）实体信息陈述_1（圣若阿金地区，降水，多）,,,一般陈述 实体信息陈述,一般陈述 实体信息陈述,,,图 l 中 ， 圣若 阿金 地区 终年 受 赤道低压带 控制 ， 降水 多,图 l 中 ， 圣若 阿金 地区 终年 受 赤道低压带 控制 ， 降水 多,NN NN LC PU loc AD VV term NN PU VV VA,( (IP (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (NP (NR 圣若阿金地区)) (VP (ADVP (AD 终年)) (VP (VV 受) (NP (NN 赤道低压带) (NN 控制))))) (PU ，) (IP (NP (NN 降水)) (VP (VA 多)))) )
1-A-0,图l中，圣若阿金地区	终年受赤道低压带控制,ed-ori,,4,7,,图 l 中 ， 圣若阿金地区 终年 受 赤道低压带 控制,图 l 中 ， 圣若阿金 地区 终年 受 赤道 低压 带 控制,NN NN LC PU loc AD VV term NN,,一般陈述_0（图l中，圣若阿金地区 终年受赤道低压带控制）,一般陈述_0（图l中，圣若阿金地区 终年受赤道低压带控制）,,,一般陈述,一般陈述,,,图 l 中 ， 圣若 阿金 地区 终年 受 赤道低压带 控制,图 l 中 ， 圣若 阿金 地区 终年 受 赤道低压带 控制,NN NN LC PU loc AD VV term VV,( (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (NP (NR 圣若阿金地区)) (VP (ADVP (AD 终年)) (VP (VV 受) (NP (NN 赤道低压带) (NN 控制))))) )
1-A-1,图l中，圣若阿金地区	终年降水多,ed-mod,,4,,,图 l 中 ， 圣若阿金地区 终年 降水 多,图 l 中 ， 圣若阿金 地区 终年 降水 多,NN NN LC PU loc AD NN VA,,实体信息陈述_0（圣若阿金地区， 终年降水，多）,实体信息陈述_0（圣若阿金地区， 终年降水，多）,,,实体信息陈述,实体信息陈述,,,图 l 中 ， 圣若 阿金 地区 终年 降水 多,图 l 中 ， 圣若 阿金 地区 终年 降水 多,NN NN LC PU loc AD VV VA,( (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (NP (NR 圣若阿金地区)) (ADVP (AD 终年)) (NP (NN 降水)) (VP (VA 多))) )
1-B,图l中，圣若阿金地区	位于东南信风的迎风坡，降水多,y,,4,6,,图 l 中 ， 圣若阿金地区 位于 东南信风 的 迎风坡 ， 降水 多,图 l 中 ， 圣若阿金 地区 位于 东南 信风 的 迎风坡 ， 降水 多,NN NN LC PU loc VV term DEG NN PU NN VA,,位于_0（圣若阿金地区，东南信风的迎风坡）实体信息陈述_1（圣若阿金地区，降水，多）,位于_0（圣若阿金地区，东南信风的迎风坡）实体信息陈述_1（圣若阿金地区，降水，多）,0_5,0_5,位于 实体信息陈述,位于 实体信息陈述,,4 6,图 l 中 ， 圣若 阿金 地区 位于 东南信风 的 迎风 坡 ， 降水 多,图 l 中 ， 圣若 阿金 地区 位于 东南信风 的 迎风 坡 ， 降水 多,NN NN LC PU loc VV term DEG NN NN PU VV VA,( (IP (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (NP (NR 圣若阿金地区)) (VP (VV 位于) (NP (DNP (NP (NN 东南信风)) (DEG 的)) (NP (NN 迎风坡))))) (PU ，) (IP (NP (NN 降水)) (VP (VA 多)))) )
1-B-0,图l中，圣若阿金地区	位于东南信风的迎风坡,ed-ori,,4,6,,图 l 中 ， 圣若阿金地区 位于 东南信风 的 迎风坡,图 l 中 ， 圣若阿金 地区 位于 东南 信风 的 迎风坡,NN NN LC PU loc VV term DEG NN,,位于_0（圣若阿金地区，东南信风的迎风坡）,位于_0（圣若阿金地区，东南信风的迎风坡）,0_5,0_5,位于,位于,,4 6,图 l 中 ， 圣若 阿金 地区 位于 东南信风 的 迎风 坡,图 l 中 ， 圣若 阿金 地区 位于 东南信风 的 迎风 坡,NN NN LC PU loc VV term DEG NN NN,( (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (NP (NR 圣若阿金地区)) (VP (VV 位于) (NP (DNP (NP (NN 东南信风)) (DEG 的)) (NP (NN 迎风坡))))) )
1-B-1,图l中，圣若阿金地区	降水多,ed-ori,,4,,,图 l 中 ， 圣若阿金地区 降水 多,图 l 中 ， 圣若阿金 地区 降水 多,NN NN LC PU loc NN VA,,实体信息陈述_0（圣若阿金地区，降水，多）,实体信息陈述_0（圣若阿金地区，降水，多）,,,实体信息陈述,实体信息陈述,,,图 l 中 ， 圣若 阿金 地区 降水 多,图 l 中 ， 圣若 阿金 地区 降水 多,NN NN LC PU loc VV VA,( (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (IP (NP (NR 圣若阿金地区) (NN 降水)) (VP (VA 多)))) )
1-C,图l中，圣若阿金地区	受自南向北的暖流影响，湿度大,y,,4,11,,图 l 中 ， 圣若阿金地区 受 自 南 向 北 的 暖流 影响 ， 湿度 大,图 l 中 ， 圣若阿金 地区 受 自 南 向 北 的 暖流 影响 ， 湿度 大,NN NN LC PU loc VV P NN P NN DEG term NN PU NN VA,,一般陈述_0（图l中，圣若阿金地区 受自南向北的暖流影响，湿度大）,一般陈述_0（图l中，圣若阿金地区 受自南向北的暖流影响，湿度大）,,,一般陈述,一般陈述,,,图 l 中 ， 圣若 阿金 地区 受 自南向北 的 暖流 影响 ， 湿度 大,图 l 中 ， 圣若 阿金 地区 受 自南向北 的 暖流 影响 ， 湿度 大,NN NN LC PU loc VV P NN P NN DEG term NN PU NN JJ,( (IP (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (NP (NR 圣若阿金地区)) (VP (VV 受) (NP (DNP (PP (PP (P 自) (NP (NN 南))) (PP (P 向) (NP (NN 北)))) (DEG 的)) (NP (NN 暖流) (NN 影响))))) (PU ，) (IP (NP (NN 湿度)) (VP (VA 大)))) )
1-C-0,图l中，圣若阿金地区	受自南向北的暖流影响,ed-ori,,4,11,,图 l 中 ， 圣若阿金地区 受 自 南 向 北 的 暖流 影响,图 l 中 ， 圣若阿金 地区 受 自 南 向 北 的 暖流 影响,NN NN LC PU loc VV P NN P NN DEG term NN,,一般陈述_0（图l中，圣若阿金地区 受自南向北的暖流影响）,一般陈述_0（图l中，圣若阿金地区 受自南向北的暖流影响）,,,一般陈述,一般陈述,,,图 l 中 ， 圣若 阿金 地区 受 自南向北 的 暖流 影响,图 l 中 ， 圣若 阿金 地区 受 自南向北 的 暖流 影响,NN NN LC PU loc VV P NN P NN DEG term NN,( (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (NP (NR 圣若阿金地区)) (VP (VV 受) (NP (DNP (PP (PP (P 自) (NP (NN 南))) (PP (P 向) (NP (NN 北)))) (DEG 的)) (NP (NN 暖流) (NN 影响))))) )
1-C-1,图l中，圣若阿金地区	湿度大,ed-ori,,4,,,图 l 中 ， 圣若阿金地区 湿度 大,图 l 中 ， 圣若阿金 地区 湿度 大,NN NN LC PU loc NN VA,,实体信息陈述_0（圣若阿金地区，湿度，大）,实体信息陈述_0（圣若阿金地区，湿度，大）,,,实体信息陈述,实体信息陈述,,,图 l 中 ， 圣若 阿金 地区 湿度 大,图 l 中 ， 圣若 阿金 地区 湿度 大,NN NN LC PU loc NN JJ,( (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (IP (NP (NR 圣若阿金地区) (NN 湿度)) (VP (VA 大)))) )
1-D,图l中，圣若阿金地区	亚热带常绿硬叶林分布范围广,None,,4,5,,图 l 中 ， 圣若阿金地区 亚热带常绿硬叶林 分布 范围 广,图 l 中 ， 圣若阿金 地区 亚热带 常绿 硬叶林 分布 范围 广,NN NN LC PU loc term VV NN VA,,实体信息陈述_0（圣若阿金地区亚热带常绿硬叶林，分布范围，广）,实体信息陈述_0（圣若阿金地区亚热带常绿硬叶林，分布范围，广）,,,实体信息陈述,实体信息陈述,,,图 l 中 ， 圣若 阿金 地区 亚热带常绿硬叶林 分布 范围 广,图 l 中 ， 圣若 阿金 地区 亚热带常绿硬叶林 分布 范围 广,NN NN LC PU loc term VV NN VA,( (IP (LCP (NP (NN 图) (NN l)) (LC 中)) (PU ，) (IP (NP (NR 圣若阿金地区) (NN 亚热带常绿硬叶林)) (VP (VV 分布))) (IP (NP (NN 范围)) (VP (VA 广)))) )
