编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图中	甲属于地质地貌景观类型,None,,,4 5,,图 中 甲 属于 地质 地貌 景观 类型,图 中 甲 属于 地质 地貌 景观 类型,NN LC NN VV term term NN NN,,,,,,,,,,图 中甲 属于 地质 地貌 景观 类型,图 中甲 属于 地质 地貌 景观 类型,NN LC NR VV term term NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 甲))) (VP (VV 属于) (NP (NP (NN 地质) (NN 地貌) (NN 景观)) (NP (NN 类型))))) )
1-B,图中	乙因其科学价值而吸引游客,None,,,,,图 中 乙 因 其 科学 价值 而 吸引 游客,图 中 乙 因 其 科学 价值 而 吸引 游客,NN LC NN P PN NN NN MSP VV NN,,,,,,,,,,图 中乙 因 其 科学 价值 而 吸引 游客,图 中乙 因 其 科学 价值 而 吸引 游客,NN LC NR P PN NN NN MSP VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 乙))) (VP (PP (P 因) (NP (NP (PN 其)) (NP (NN 科学) (NN 价值)))) (VP (MSP 而) (VP (VV 吸引) (NP (NN 游客)))))) )
1-C,图中	丙的观赏需洞悉文化定位,None,,,,,图 中 丙 的 观赏 需 洞悉 文化 定位,图 中 丙 的 观赏 需 洞悉 文化 定位,NN LC NN DEG NN VV VV NN NN,,,,,,,,,,图 中丙 的 观赏 需 洞悉 文化 定位,图 中丙 的 观赏 需 洞悉 文化 定位,NN LC VA DEC VV VV VV NN NN,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 丙))) (DEG 的)) (NP (NN 观赏))) (VP (VV 需) (VP (VV 洞悉) (NP (NN 文化) (NN 定位))))) )
1-D,图中	丁是世界自然、文化双遗产,None,,,,,图 中 丁 是 世界 自然 、 文化 双 遗产,图 中 丁 是 世界 自然 、 文化 双 遗产,NN LC NN VC NN NN PU NN CD NN,,,,,,,,,,图 中丁 是 世界 自然 、 文化 双遗产,图 中丁 是 世界 自然 、 文化 双遗产,NN LC NR VC NN NN PU NN CD NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 丁))) (VP (VC 是) (NP (NP (NP (NN 世界)) (NP (NN 自然) (PU 、) (NN 文化))) (QP (CD 双)) (NP (NN 遗产))))) )
2-A,图中	①山脉是我国地势第一、二级阶梯分界线,None,,,,,图 中 ① 山脉 是 我国 地势 第一 、 二 级 阶梯 分界线,图 中 ① 山脉 是 我国 地势 第一 、 二 级 阶梯 分界线,NN LC NN NN VC NN NN OD PU CD M NN NN,,,,,,,,,,图 中 ① 山脉 是 我国 地势 第一 、 二级 阶梯 分界 线,图 中 ① 山脉 是 我国 地势 第一 、 二级 阶梯 分界 线,NN LC VV NN VC NR NN OD PU JJ NN NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①) (NN 山脉))) (VP (VC 是) (NP (NP (NN 我国) (NN 地势)) (QP (OD 第一) (PU 、) (QP (CD 二) (CLP (M 级)))) (NP (NN 阶梯) (NN 分界线))))) )
2-B,图中	②山脉是我国湿润区和半湿润区的分界线,None,,,,,图 中 ② 山脉 是 我国 湿润 区 和 半湿润 区 的 分界线,图 中 ② 山脉 是 我国 湿润 区 和 半湿润 区 的 分界线,NN LC NN NN VC NN JJ NN CC JJ NN DEG NN,,,,,,,,,,图 中 ② 山脉 是 我国 湿润区 和 半湿润 区 的 分界 线,图 中 ② 山脉 是 我国 湿润区 和 半湿润 区 的 分界 线,NN LC VV NN VC NR VV NN CC NN NN DEG NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ②) (NN 山脉))) (VP (VC 是) (NP (DNP (NP (NP (NN 我国)) (NP (NP (ADJP (JJ 湿润)) (NP (NN 区))) (CC 和) (NP (ADJP (JJ 半湿润)) (NP (NN 区))))) (DEG 的)) (NP (NN 分界线))))) )
2-C,图中	③平原灌溉便利，可扩大双季稻种植面积,y,,,3,,图 中 ③ 平原 灌溉 便利 ， 可 扩大 双季稻 种植 面积,图 中 ③ 平原 灌溉 便利 ， 可 扩大 双季稻 种植 面积,NN LC NN term VV VA PU VV VV NN NN NN,,,,,,,,,,图 中 ③ 平原 灌溉 便利 ， 可 扩大 双季稻 种植 面积,图 中 ③ 平原 灌溉 便利 ， 可 扩大 双季稻 种植 面积,NN LC VV term NN NN PU VV VV NN NN NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③) (NN 平原)) (VP (VP (VV 灌溉)) (VP (VA 便利)))) (PU ，) (IP (VP (VV 可) (VP (VV 扩大) (NP (NN 双季稻) (NN 种植) (NN 面积)))))) )
2-C-0,图中	③平原灌溉便利,ed-ori,,,3,,图 中 ③ 平原 灌溉 便利,图 中 ③ 平原 灌溉 便利,NN LC NN term VV VA,,,,,,,,,,图 中 ③ 平原 灌溉 便利,图 中 ③ 平原 灌溉 便利,NN LC VV term NN NN,( (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③) (NN 平原)) (VP (VP (VV 灌溉)) (VP (VA 便利)))) )
2-C-1,图中	③平原可扩大双季稻种植面积,ed-mod,,,3,,图 中 ③ 平原 可 扩大 双季稻 种植 面积,图 中 ③ 平原 可 扩大 双季稻 种植 面积,NN LC NN term VV VV NN NN NN,,,,,,,,,,图 中 ③ 平原 可 扩大 双季稻 种植 面积,图 中 ③ 平原 可 扩大 双季稻 种植 面积,NN LC VV term VV VV NN NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③) (NN 平原))) (VP (VV 可) (VP (VV 扩大) (NP (NN 双季稻) (NN 种植) (NN 面积))))) )
2-D,图中	④高原旱灾频发，应大规模发展畜牧业,y,,,3 4,,图 中 ④ 高原 旱灾 频发 ， 应 大规模 发展 畜牧业,图 中 ④ 高原 旱灾 频发 ， 应 大规模 发展 畜牧业,NN LC NN term term VV PU VV AD VV NN,,,,,,,,,,图 中 ④ 高原 旱灾 频发 ， 应 大规模 发展 畜牧 业,图 中 ④ 高原 旱灾 频发 ， 应 大规模 发展 畜牧 业,NN LC NR term term VV PU VV JJ NN NN NN,( (IP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ④) (NN 高原))) (NP (NN 旱灾)) (VP (VV 频发))) (PU ，) (VP (VV 应) (VP (ADVP (AD 大规模)) (VP (VV 发展) (NP (NN 畜牧业)))))) )
2-D-0,图中	④高原旱灾频发,ed-ori,,,3 4,,图 中 ④ 高原 旱灾 频发,图 中 ④ 高原 旱灾 频发,NN LC NN term term VV,,,,,,,,,,图 中 ④ 高原 旱灾 频发,图 中 ④ 高原 旱灾 频发,NN LC NR term term VV,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ④) (NN 高原))) (NP (NN 旱灾)) (VP (VV 频发))) )
2-D-1,图中	④高原应大规模发展畜牧业,ed-mod,,,3,,图 中 ④ 高原 应 大规模 发展 畜牧业,图 中 ④ 高原 应 大规模 发展 畜牧业,NN LC NN term VV AD VV NN,,,,,,,,,,图 中 ④ 高原 应 大规模 发展 畜牧 业,图 中 ④ 高原 应 大规模 发展 畜牧 业,NN LC VV term VV JJ NN NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ④) (NN 高原))) (VP (VV 应) (VP (ADVP (AD 大规模)) (VP (VV 发展) (NP (NN 畜牧业)))))) )
