编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图中热液区	不会发生地震,None,,,2 6,,图 中 热液区 不 会 发生 地震,图 中 热液 区 不 会 发生 地震,NN LC term AD VV VV term,,,,,,,,,,图 中 热液 区 不 会 发生 地震,图 中 热液 区 不 会 发生 地震,NN LC term AD VV VV term,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 热液区))) (VP (ADVP (AD 不)) (VP (VV 会) (VP (VV 发生) (NP (NN 地震)))))) )
1-B,图中热液区	适宜旅游开发,None,,,2,,图 中 热液区 适宜 旅游 开发,图 中 热液 区 适宜 旅游 开发,NN LC term VV NN NN,,,,,,,,,,图 中 热液 区 适宜 旅游 开发,图 中 热液 区 适宜 旅游 开发,NN LC term VV NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 热液区))) (VP (VV 适宜) (NP (NN 旅游) (NN 开发)))) )
1-C,图中热液区	岩石圈的厚度最薄,None,,,2,,图 中 热液区 岩石圈 的 厚度 最 薄,图 中 热液 区 岩石圈 的 厚度 最 薄,NN LC term NN DEG NN AD VA,,,,,,,,,,图 中 热液 区 岩石圈 的 厚度 最 薄,图 中 热液 区 岩石圈 的 厚度 最 薄,NN LC term NN DEG NN AD VA,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 热液区) (NN 岩石圈))) (DEG 的)) (NP (NN 厚度))) (VP (ADVP (AD 最)) (VP (VA 薄)))) )
1-D,图中热液区	处于板块消亡边界,None,,,2 4,,图 中 热液区 处于 板块 消亡 边界,图 中 热液 区 处于 板块 消亡 边界,NN LC term VV term NN NN,,,,,,,,,,图 中 热液 区 处于 板块消亡边界,图 中 热液 区 处于 板块消亡边界,NN LC term VV term VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 热液区))) (VP (VV 处于) (NP (NP (NN 板块) (NN 消亡)) (NP (NN 边界))))) )
2-A,据图	蓝水和绿水根本来源相同,None,,,,,据 图 蓝水 和 绿水 根本 来源 相同,据 图 蓝水 和 绿水 根本 来源 相同,P NN NN CC NN JJ NN VA,,,,,,,,,,据 图蓝水 和 绿水 根本 来源 相同,据 图蓝水 和 绿水 根本 来源 相同,P NN NN CC NN AD NN VA,( (IP (PP (P 据) (NP (NN 图))) (NP (NP (NN 蓝水) (CC 和) (NN 绿水)) (ADJP (JJ 根本)) (NP (NN 来源))) (VP (VA 相同))) )
2-B,据图	蓝水数量与绿水数量相同,None,,,,,据 图 蓝水 数量 与 绿水 数量 相同,据 图 蓝水 数量 与 绿水 数量 相同,P NN NN NN CC NN NN VA,,,,,,,,,,据 图蓝水 数量 与 绿水 数量 相同,据 图蓝水 数量 与 绿水 数量 相同,P NN NN NN CC NN NN VA,( (IP (PP (P 据) (NP (NN 图))) (NP (NP (NP (NN 蓝水)) (NP (NN 数量) (CC 与) (NN 绿水))) (NP (NN 数量))) (VP (VA 相同))) )
2-C,据图	绿水主要指地表和地下径流,None,,,7,,据 图 绿水 主要 指 地表 和 地下径流,据 图 绿水 主要 指 地表 和 地下 径流,P NN NN AD VV NN CC term,,,,,,,,,,据 图 绿水 主要 指 地表 和 地下径流,据 图 绿水 主要 指 地表 和 地下径流,P NN NN AD VV NN CC term,( (IP (VP (PP (P 据) (NP (NN 图) (NN 绿水))) (ADVP (AD 主要)) (VP (VV 指) (NP (NN 地表) (CC 和) (NN 地下径流))))) )
2-D,据图	通常所说的水资源是指绿水,None,,,,,据 图 通常 所 说 的 水资源 是 指 绿水,据 图 通常 所 说 的 水资源 是 指 绿水,P NN AD MSP VV DEC NN VC VV NN,,,,,,,,,,据 图 通常 所 说 的 水资源 是 指 绿水,据 图 通常 所 说 的 水资源 是 指 绿水,P NN AD MSP VV DEC NN VC VV NN,( (IP (NP (CP (IP (VP (PP (P 据) (NP (NN 图))) (ADVP (AD 通常)) (VP (MSP 所) (VP (VV 说))))) (DEC 的)) (NP (NN 水资源))) (VP (VC 是) (IP (VP (VV 指) (NP (NN 绿水)))))) )
3-A,绿水	直接参与了地表形态的塑造,None,,,,,绿水 直接 参与 了 地表 形态 的 塑造,绿水 直接 参与 了 地表 形态 的 塑造,NN AD VV AS NN NN DEG NN,,,,,,,,,,绿水 直接 参与 了 地表 形态 的 塑造,绿水 直接 参与 了 地表 形态 的 塑造,NN AD VV AS NN NN DEG NN,( (IP (NP (NN 绿水)) (VP (ADVP (AD 直接)) (VP (VV 参与) (AS 了) (NP (DNP (NP (NN 地表) (NN 形态)) (DEG 的)) (NP (NN 塑造)))))) )
3-B,绿水	对海陆间循环产生明显影响,None,,,2,,绿水 对 海陆间循环 产生 明显 影响,绿水 对 海陆 间 循环 产生 明显 影响,NN P term VV JJ NN,,,,,,,,,,绿水 对 海陆间循环 产生 明显 影响,绿水 对 海陆间循环 产生 明显 影响,NN P term VV JJ NN,( (IP (NP (NN 绿水)) (VP (PP (P 对) (NP (NN 海陆间循环))) (VP (VV 产生) (NP (ADJP (JJ 明显)) (NP (NN 影响)))))) )
3-C,绿水	吸收地面辐射，具有保温作用,y,,,2,,绿水 吸收 地面辐射 ， 具有 保温 作用,绿水 吸收 地面 辐射 ， 具有 保温 作用,NN VV term PU VV NN NN,,,,,,,,,,绿水 吸收 地面辐射 ， 具有 保温 作用,绿水 吸收 地面辐射 ， 具有 保温 作用,NN VV term PU VV NN NN,( (IP (NP (NN 绿水)) (VP (VP (VV 吸收) (NP (NN 地面辐射))) (PU ，) (VP (VV 具有) (NP (NN 保温) (NN 作用))))) )
