编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,器箭分离时“嫦娥三号”探测器飞越	亚洲上空,None,,9,,5,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 亚洲 上空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 亚洲 上空,NN VV LC PU NR num PU NN VV loc NN,,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，亚洲上空）,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，亚洲上空）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,,9,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 亚洲 上 空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 亚洲 上 空,NN VV LC PU VV num PU NN VV loc NN,( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 亚洲)) (NP (NN 上空))))) )
1-B,器箭分离时“嫦娥三号”探测器飞越	南美洲上空,None,,9,,5,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 南美洲 上空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 南美洲 上空,NN VV LC PU NR num PU NN VV loc NN,,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，南美洲上空）,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，南美洲上空）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,,,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞 越 南美洲 上 空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 南美洲 上 空,NN VV LC PU VV num PU NN VV loc NN,( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 南美洲)) (NP (NN 上空))))) )
1-C,器箭分离时“嫦娥三号”探测器飞越	大西洋上空,None,,9,,5,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 大西洋 上空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 大西洋 上空,NN VV LC PU NR num PU NN VV loc NN,,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，大西洋上空）,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，大西洋上空）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,,9,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 大 西洋 上 空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 大西洋 上 空,NN VV LC PU VV num PU NN VV loc NN,( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 大西洋)) (NP (NN 上空))))) )
1-D,器箭分离时“嫦娥三号”探测器飞越	太平洋上空,None,,9,,5,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 太平洋 上空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 太平洋 上空,NN VV LC PU NR num PU NN VV loc NN,,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，太平洋上空）,时间限定_0（器箭分离时）实体信息陈述_1（“嫦娥三号”探测器，飞越，太平洋上空）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,,9,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 太平洋 上 空,器箭 分离 时 “ 嫦娥 三号 ” 探测器 飞越 太平洋 上 空,NN VV LC PU VV num PU NN VV loc NN,( (IP (NP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (QP (PU “) (NP (NR 嫦娥)) (CD 三号) (PU ”)) (NP (NN 探测器))) (VP (VV 飞越) (NP (NP (NR 太平洋)) (NP (NN 上空))))) )
2-A,器箭分离时，甲地的区时为	1日21时48分,None,8,4,6,,器箭 分离 时 ， 甲地 的 区时 为 1日21时48分,器箭 分离 时 ， 甲地 的 区时 为 1日 21时 48分,NN VV LC PU loc DEG term VC time,,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，1日21时48分）,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，1日21时48分）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,8,,器箭 分离 时 ， 甲地 的 区时 为 1日21时48分,器箭 分离 时 ， 甲地 的 区时 为 1日 21时 48分,NN VV LC PU loc DEG term VC time,( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 1日21时48分)))) )
2-B,器箭分离时，甲地的区时为	1日5时40分,None,8,4,6,,器箭 分离 时 ， 甲地 的 区时 为 1日5时40分,器箭 分离 时 ， 甲地 的 区时 为 1日 5时 40分,NN VV LC PU loc DEG term VC time,,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，1日5时40分）,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，1日5时40分）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,8,,器箭 分离 时 ， 甲地 的 区时 为 1日5时40分,器箭 分离 时 ， 甲地 的 区时 为 1日 5时 40分,NN VV LC PU loc DEG term VC time,( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 1日5时40分)))) )
2-C,器箭分离时，甲地的区时为	2日5时48分,None,8,4,6,,器箭 分离 时 ， 甲地 的 区时 为 2日5时48分,器箭 分离 时 ， 甲地 的 区时 为 2日 5时 48分,NN VV LC PU loc DEG term VC time,,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，2日5时48分）,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，2日5时48分）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,8,,器箭 分离 时 ， 甲地 的 区时 为 2日5时48分,器箭 分离 时 ， 甲地 的 区时 为 2日 5时 48分,NN VV LC PU loc DEG term VC time,( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 2日5时48分)))) )
2-D,器箭分离时，甲地的区时为	2日21时40分,None,8,4,6,,器箭 分离 时 ， 甲地 的 区时 为 2日21时40分,器箭 分离 时 ， 甲地 的 区时 为 2日 21时 40分,NN VV LC PU loc DEG term VC time,,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，2日21时40分）,时间限定_0（器箭分离时）实体信息陈述_1（甲地，区时，2日21时40分）,0_2,0_2,时间限定 实体信息陈述,时间限定 实体信息陈述,8,,器箭 分离 时 ， 甲地 的 区时 为 2日21时40分,器箭 分离 时 ， 甲地 的 区时 为 2日 21时 40分,NN VV LC PU loc DEG term VC time,( (IP (LCP (IP (NP (NN 器箭)) (VP (VV 分离))) (LC 时)) (PU ，) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 2日21时40分)))) )
3-A,下图中能反映此日后20天时全球昼长分布的曲线是	①,None,7,,,,下图 中 能 反映 此 日 后 20天 时 全球 昼长 分布 的 曲线 是 ①,下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ①,NN LC VV VV DT NN LC time LC NN NN NN DEG NN VC NN,,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，①）,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，①）,0_8 1_14,0_8 1_14,时间限定 匹配,时间限定 匹配,,,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ①,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ①,NN LC VV VV DT M LC time LC NN NN VV DEC NN VC NN,( (IP (LCP (NP (NN 下图)) (LC 中)) (VP (VV 能) (VP (VV 反映) (IP (LCP (NP (DP (DT 此)) (NP (NN 日))) (LC 后)) (NP (LCP (NP (NT 20天)) (LC 时)) (DNP (NP (NN 全球) (NN 昼长) (NN 分布)) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ①))))))) )
3-B,下图中能反映此日后20天时全球昼长分布的曲线是	②,None,7,,,,下图 中 能 反映 此 日 后 20天 时 全球 昼长 分布 的 曲线 是 ②,下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ②,NN LC VV VV DT NN LC time LC NN NN NN DEG NN VC NN,,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，②）,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，②）,0_8 1_14,0_8 1_14,时间限定 匹配,时间限定 匹配,,,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ②,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ②,NN LC VV VV DT M LC time LC NN NN VV DEC NN VC NN,( (IP (LCP (NP (NN 下图)) (LC 中)) (VP (VV 能) (VP (VV 反映) (IP (LCP (NP (DP (DT 此)) (NP (NN 日))) (LC 后)) (NP (LCP (NP (NT 20天)) (LC 时)) (DNP (NP (NN 全球) (NN 昼长) (NN 分布)) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ②))))))) )
