编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,据图判断，该地	北京时间16时地面吸收的太阳热量最大,None,7,,6,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京 时间 16时 地面 吸收 的 太阳 热量 最 大,P NN VV PU DT NN term time NN VV DEC NN NN AD VA,,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,0_6-7 1_13,0_6-7 1_13,时间限定 最值,时间限定 最值,7,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,P NN NN PU DT NN term time NN VV DEC NN NN AD VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 北京时间))) (CP (IP (NP (NT 16时)) (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 太阳) (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
1-B,据图判断，该地	地面一天中随时都在散失热量,None,7,,,,据 图 判断 ， 该 地 地面 一天 中 随时 都 在 散失 热量,据 图 判断 ， 该 地 地面 一天 中 随时 都 在 散失 热量,P NN VV PU DT NN NN time LC AD AD AD VV NN,,实体信息陈述_0（该地，#，地面一天中随时都在散失热量）,实体信息陈述_0（该地，#，地面一天中随时都在散失热量）,0_4,0_4,实体信息陈述,实体信息陈述,,,据 图 判断 ， 该 地 地面 一天 中 随时 都 在 散失 热量,据 图 判断 ， 该 地 地面 一天 中 随时 都 在 散失 热量,P NN NN PU DT NN NN time LC AD AD AD VV NN,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 地面))) (VP (LCP (NP (NT 一天)) (LC 中)) (ADVP (AD 随时)) (ADVP (AD 都)) (ADVP (AD 在)) (VP (VV 散失) (NP (NN 热量))))) )
1-C,据图判断，该地	气温最低时是地面散失热量最大的时刻,None,,,,,据 图 判断 ， 该 地 气温 最 低 时 是 地面 散失 热量 最 大 的 时刻,据 图 判断 ， 该 地 气温 最 低 时 是 地面 散失 热量 最 大 的 时刻,P NN VV PU DT NN NN AD VA LC VC NN VV NN AD VA DEC NN,,最值_0（该地，气温最低时，地面散失热量最大的时刻，#）,最值_0（该地，气温最低时，地面散失热量最大的时刻，#）,0_13-15,0_13-15,最值,最值,,,据 图 判断 ， 该 地 气温 最 低 时 是 地面 散失 热量 最 大 的 时刻,据 图 判断 ， 该 地 气温 最 低 时 是 地面 散失 热量 最 大 的 时刻,P NN NN PU DT NN VV AD VA LC VC NN VV NN AD VA DEC NN,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (DP (DT 该)) (NP (NN 地))) (VP (LCP (IP (NP (NN 气温)) (VP (ADVP (AD 最)) (VP (VA 低)))) (LC 时)) (VP (VC 是) (NP (CP (IP (NP (NN 地面)) (VP (VP (VV 散失) (NP (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大))))) (DEC 的)) (NP (NN 时刻)))))) )
1-D,据图判断，该地	白天地面吸收的热量始终大于散失的热量,None,,,,,据 图 判断 ， 该 地 白天 地面 吸收 的 热量 始终 大于 散失 的 热量,据 图 判断 ， 该 地 白天 地面 吸收 的 热量 始终 大于 散失 的 热量,P NN VV PU DT NN NN NN VV DEC NN AD VV VV DEC NN,,比较_0（该地，#，白天地面吸收的热量，白天地面散失的热量，散失的热量）,比较_0（该地，#，白天地面吸收的热量，白天地面散失的热量，散失的热量）,0_12,0_12,比较,比较,,,据 图 判断 ， 该 地 白天 地面 吸收 的 热量 始终 大于 散失 的 热量,据 图 判断 ， 该 地 白天 地面 吸收 的 热量 始终 大于 散失 的 热量,P NN NN PU DT NN NN NN VV DEC NN AD VV VV DEC NN,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 白天)) (CP (IP (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 热量))) (VP (ADVP (AD 始终)) (VP (VV 大于) (NP (CP (IP (VP (VV 散失))) (DEC 的)) (NP (NN 热量)))))) )
2-A,该地	位于90°E，昼长12小时左右,y,7,,,3,该 地 位于 90°E ， 昼 长 12小时左右,该 地 位于 90°E ， 昼 长 12 小时 左右,DT NN VV num PU NN VA time,,位于_0（该地，90°E）实体信息陈述_1（该地，昼长，12小时左右）,位于_0（该地，90°E）实体信息陈述_1（该地，昼长，12小时左右）,0_2 1_0,0_2 1_0,位于 实体信息陈述,位于 实体信息陈述,6,3,该 地位 于 90°E ， 昼长 12小时 左右,该 地位 于 90°E ， 昼长 12 小时 左右,DT NN VV num PU NN time,( (IP (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 90°E)))) (PU ，) (IP (NP (NN 昼)) (VP (VA 长))) (PRN (NP (NT 12小时左右)))) )
2-A-0,该地	位于90°E,ed-ori,,,,3,该 地 位于 90°E,该 地 位于 90°E,DT NN VV num,,位于_0（该地，90°E）,位于_0（该地，90°E）,0_2,0_2,位于,位于,,3,该 地位 于 90°E,该 地位 于 90°E,DT NN VV num,( (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 90°E)))) )
2-A-1,该地	昼长12小时左右,ed-ori,3,,,,该 地 昼长 12小时左右,该 地 昼长 12 小时 左右,DT NN VV time,,实体信息陈述_0（该地，昼长，12小时左右）,实体信息陈述_0（该地，昼长，12小时左右）,0_0,0_0,实体信息陈述,位于 实体信息陈述,3,,该 地 昼长 12小时 左右,该 地 昼长 12 小时 左右,DT NN VV time,( (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 昼长) (NP (NT 12小时左右)))) )
2-B,该地	位于120°E，昼长12小时左右,y,7,,,3,该 地 位于 120°E ， 昼 长 12小时左右,该 地 位于 120°E ， 昼 长 12 小时 左右,DT NN VV num PU NN VA time,,位于_0（该地，120°E）实体信息陈述_1（该地，昼长，12小时左右）,位于_0（该地，120°E）实体信息陈述_1（该地，昼长，12小时左右）,0_2 1_0,0_2 1_0,位于 实体信息陈述,位于 实体信息陈述,6,3,该 地 位于 120°E ， 昼长 12小时 左右,该 地 位于 120°E ， 昼长 12 小时 左右,DT NN VV num PU NN time,( (IP (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 120°E)))) (PU ，) (IP (NP (NN 昼)) (VP (VA 长))) (PRN (NP (NT 12小时左右)))) )
2-B-0,该地	位于120°E,ed-ori,,,,3,该 地 位于 120°E,该 地 位于 120°E,DT NN VV num,,位于_0（该地，120°E）,位于_0（该地，120°E）,0_2,0_2,位于,位于,,3,该 地 位于 120°E,该 地 位于 120°E,DT NN VV num,( (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 120°E)))) )
2-B-1,该地	昼长12小时左右,ed-ori,4,,,,该 地 昼 长 12小时左右,该 地 昼 长 12 小时 左右,DT NN NN VA time,,实体信息陈述_0（该地，昼长，12小时左右）,实体信息陈述_0（该地，昼长，12小时左右）,0_0,0_0,实体信息陈述,实体信息陈述,3,,该 地 昼长 12小时 左右,该 地 昼长 12 小时 左右,DT NN VV time,( (IP (NP (DP (DT 该)) (NP (NN 地))) (IP (NP (NN 昼)) (VP (VA 长))) (VP (NP (NT 12小时左右)))) )
2-C,该地	位于90°E，昼长15小时左右,y,7,,,3,该 地 位于 90°E ， 昼 长 15小时左右,该 地 位于 90°E ， 昼 长 15 小时 左右,DT NN VV num PU NN VA time,,位于_0（该地，90°E）实体信息陈述_1（该地，昼长，15小时左右）,位于_0（该地，90°E）实体信息陈述_1（该地，昼长，15小时左右）,0_2 1_0,0_2 1_0,位于 实体信息陈述,位于 实体信息陈述,6,,该 地位 于 90°E ， 昼长 15小时 左右,该 地位 于 90°E ， 昼长 15 小时 左右,DT NN P num PU NN time,( (IP (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 90°E)))) (PU ，) (IP (NP (NN 昼)) (VP (VA 长))) (PRN (NP (NT 15小时左右)))) )
