编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,远望号测量船准确到达太平洋指定海域，并及时发现、稳定跟踪测控目标，主要应用的地理信息技术是	全球定位系统与遥感,None,,4,20 22 24,,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 全球定位系统 与 遥感,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理 信息 技术 是 全球 定位 系统 与 遥感,NN NN AD VV loc JJ NN PU CC AD VV PU AD VV NN NN PU AD VV DEC term VC term CC term,,,,,,,,,4,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 全球定位系统 与 遥感,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 全球定位系统 与 遥感,NN NN AD VV loc VV NN PU CC AD VV PU AD VV NN NN PU JJ NN DEG term VC term CC term,( (IP (IP (NP (NN 远望号) (NN 测量船)) (VP (ADVP (AD 准确)) (VP (VP (VV 到达) (NP (NP (NR 太平洋)) (ADJP (JJ 指定)) (NP (NN 海域)))) (PU ，) (CC 并) (VP (ADVP (AD 及时)) (VP (VP (VV 发现)) (PU 、) (VP (ADVP (AD 稳定)) (VP (VV 跟踪) (NP (NN 测控) (NN 目标))))))))) (PU ，) (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 应用)))) (DEC 的)) (NP (NN 地理信息技术))) (VP (VC 是) (NP (NN 全球定位系统) (CC 与) (NN 遥感)))) )
1-B,远望号测量船准确到达太平洋指定海域，并及时发现、稳定跟踪测控目标，主要应用的地理信息技术是	全球定位系统与地理信息系统,None,,4,20 22 24,,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 全球定位系统 与 地理信息系统,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理 信息 技术 是 全球 定位 系统 与 地理 信息 系统,NN NN AD VV loc JJ NN PU CC AD VV PU AD VV NN NN PU AD VV DEC term VC term CC term,,,,,,,,,4,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 全球定位系统 与 地理信息系统,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 全球定位系统 与 地理信息系统,NN NN AD VV loc VV NN PU CC AD VV PU AD VV NN NN PU JJ NN DEG term VC term CC term,( (IP (IP (NP (NN 远望号) (NN 测量船)) (VP (ADVP (AD 准确)) (VP (VP (VV 到达) (NP (NP (NR 太平洋)) (ADJP (JJ 指定)) (NP (NN 海域)))) (PU ，) (CC 并) (VP (ADVP (AD 及时)) (VP (VP (VV 发现)) (PU 、) (VP (ADVP (AD 稳定)) (VP (VV 跟踪) (NP (NN 测控) (NN 目标))))))))) (PU ，) (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 应用)))) (DEC 的)) (NP (NN 地理信息技术))) (VP (VC 是) (NP (NN 全球定位系统) (CC 与) (NN 地理信息系统)))) )
1-C,远望号测量船准确到达太平洋指定海域，并及时发现、稳定跟踪测控目标，主要应用的地理信息技术是	遥感与地理信息系统,None,,4,20 22 24,,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 遥感 与 地理信息系统,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理 信息 技术 是 遥感 与 地理 信息 系统,NN NN AD VV loc JJ NN PU CC AD VV PU AD VV NN NN PU AD VV DEC term VC term CC term,,,,,,,,,4 24,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 遥感 与 地理信息系统,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 遥感 与 地理信息系统,NN NN AD VV loc VV NN PU CC AD VV PU AD VV NN NN PU JJ NN DEG term VC term CC term,( (IP (IP (NP (NN 远望号) (NN 测量船)) (VP (ADVP (AD 准确)) (VP (VP (VV 到达) (NP (NP (NR 太平洋)) (ADJP (JJ 指定)) (NP (NN 海域)))) (PU ，) (CC 并) (VP (ADVP (AD 及时)) (VP (VP (VV 发现)) (PU 、) (VP (ADVP (AD 稳定)) (VP (VV 跟踪) (NP (NN 测控) (NN 目标))))))))) (PU ，) (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 应用)))) (DEC 的)) (NP (NN 地理信息技术))) (VP (VC 是) (NP (NN 遥感) (CC 与) (NN 地理信息系统)))) )
1-D,远望号测量船准确到达太平洋指定海域，并及时发现、稳定跟踪测控目标，主要应用的地理信息技术是	遥感与数字地球,None,,4,20 22 24,,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 遥感 与 数字地球,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理 信息 技术 是 遥感 与 数字 地球,NN NN AD VV loc JJ NN PU CC AD VV PU AD VV NN NN PU AD VV DEC term VC term CC term,,,,,,,,,4,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 遥感 与 数字地球,远望号 测量船 准确 到达 太平洋 指定 海域 ， 并 及时 发现 、 稳定 跟踪 测控 目标 ， 主要 应用 的 地理信息技术 是 遥感 与 数字地球,NN NN AD VV loc VV NN PU CC AD VV PU AD VV NN NN PU JJ NN DEG term VC term CC term,( (IP (IP (NP (NN 远望号) (NN 测量船)) (VP (ADVP (AD 准确)) (VP (VP (VV 到达) (NP (NP (NR 太平洋)) (ADJP (JJ 指定)) (NP (NN 海域)))) (PU ，) (CC 并) (VP (ADVP (AD 及时)) (VP (VP (VV 发现)) (PU 、) (VP (ADVP (AD 稳定)) (VP (VV 跟踪) (NP (NN 测控) (NN 目标))))))))) (PU ，) (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 应用)))) (DEC 的)) (NP (NN 地理信息技术))) (VP (VC 是) (NP (NN 遥感) (CC 与) (NN 数字地球)))) )
2-①,冰岛旅游资源丰富，体现冰岛上述特色的旅游资源包括	冰川地貌,None,,0 6,13,,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 冰川地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 冰川 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,,,,,,,,,0 6,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 冰川 地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 冰川 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,( (IP (IP (NP (NP (NR 冰岛)) (NP (NN 旅游) (NN 资源))) (VP (VA 丰富))) (PU ，) (IP (NP (CP (IP (VP (VV 体现) (NP (NP (NR 冰岛)) (ADJP (JJ 上述)) (NP (NN 特色))))) (DEC 的)) (NP (NN 旅游) (NN 资源))) (VP (VV 包括) (NP (NN 冰川地貌))))) )
2-②,冰岛旅游资源丰富，体现冰岛上述特色的旅游资源包括	海蚀地貌,None,,0 6,13,,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 海蚀地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 海蚀 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,,,,,,,,,0 6,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 海蚀 地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 海蚀 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,( (IP (IP (NP (NP (NR 冰岛)) (NP (NN 旅游) (NN 资源))) (VP (VA 丰富))) (PU ，) (IP (NP (CP (IP (VP (VV 体现) (NP (NP (NR 冰岛)) (ADJP (JJ 上述)) (NP (NN 特色))))) (DEC 的)) (NP (NN 旅游) (NN 资源))) (VP (VV 包括) (NP (NN 海蚀地貌))))) )
2-③,冰岛旅游资源丰富，体现冰岛上述特色的旅游资源包括	火山地貌,None,,0 6,13,,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 火山地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 火山 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,,,,,,,,,0 6,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 火山 地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 火山 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,( (IP (IP (NP (NP (NR 冰岛)) (NP (NN 旅游) (NN 资源))) (VP (VA 丰富))) (PU ，) (IP (NP (CP (IP (VP (VV 体现) (NP (NP (NR 冰岛)) (ADJP (JJ 上述)) (NP (NN 特色))))) (DEC 的)) (NP (NN 旅游) (NN 资源))) (VP (VV 包括) (NP (NN 火山地貌))))) )
2-④,冰岛旅游资源丰富，体现冰岛上述特色的旅游资源包括	地热温泉,None,,0 6,13,,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 地热温泉,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 地热 温泉,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,,,,,,,,,0 6,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 地热 温泉,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 地热 温泉,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,( (IP (IP (NP (NP (NR 冰岛)) (NP (NN 旅游) (NN 资源))) (VP (VA 丰富))) (PU ，) (IP (NP (CP (IP (VP (VV 体现) (NP (NP (NR 冰岛)) (ADJP (JJ 上述)) (NP (NN 特色))))) (DEC 的)) (NP (NN 旅游) (NN 资源))) (VP (VV 包括) (NP (NN 地热温泉))))) )
2-⑤,冰岛旅游资源丰富，体现冰岛上述特色的旅游资源包括	风蚀地貌,None,,0 6,13,,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 风蚀地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 风蚀 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,,,,,,,,,0 6,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 风蚀 地貌,冰岛 旅游 资源 丰富 ， 体现 冰岛 上述 特色 的 旅游 资源 包括 风蚀 地貌,loc NN NN VA PU VV loc JJ NN DEC NN NN VV term,( (IP (IP (NP (NP (NR 冰岛)) (NP (NN 旅游) (NN 资源))) (VP (VA 丰富))) (PU ，) (IP (NP (CP (IP (VP (VV 体现) (NP (NP (NR 冰岛)) (ADJP (JJ 上述)) (NP (NN 特色))))) (DEC 的)) (NP (NN 旅游) (NN 资源))) (VP (VV 包括) (NP (NN 风蚀地貌))))) )
3-①,冰岛特色旅游资源的形成原因是	位于极圈内，干燥多风,y,,0,9,,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内 ， 干燥 多 风,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内 ， 干燥 多 风,loc NN NN NN DEG NN NN VC VV term LC PU VA JJ NN,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内 ， 干燥 多 风,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内 ， 干燥 多 风,loc NN NN NN DEG JJ NN VC VV term LC PU VV JJ NN,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (NP (LCP (NP (NN 极圈)) (LC 内)) (PU ，) (CP (VP (VA 干燥))) (ADJP (JJ 多)) (NP (NN 风)))))) )
