编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	到达了河外星系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河外星系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外 星系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 到达) (AS 了) (NP (NN 河外星系))))) )
1-B,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	始终在地月系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 始终 在 地月系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 始终 在 地 月 系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN AD VV term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，始终在，地月系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，始终在，地月系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 始终 在 地月系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 始终 在 地月系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN AD P term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (ADVP (AD 始终)) (VP (VV 在) (NP (NN 地月系)))))) )
1-C,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	脱离了太阳系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 太阳系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 太阳 系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，脱离了，太阳系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，脱离了，太阳系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 太阳 系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 太阳 系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 脱离) (AS 了) (NP (NN 太阳系))))) )
1-D,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	脱离了地月系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 地月系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 地 月 系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，脱离了，地月系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，脱离了，地月系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 地月系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 脱离 了 地月系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 脱离) (AS 了) (NP (NN 地月系))))) )
2-A,图中几乎全部处于黑夜的大洋是	太平洋,None,,9,,,图 中 几乎 全部 处于 黑夜 的 大洋 是 太平洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 太平洋,NN LC AD AD VV NN DEG NN VC loc,,实体信息陈述_0（太平洋，几乎全部处于，黑夜）,实体信息陈述_0（太平洋，几乎全部处于，黑夜）,,,实体信息陈述,实体信息陈述,,9,图 中 几乎 全部 处于 黑夜 的 大洋 是 太平洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 太平洋,NN LC AD AD VV NN DEG NN VC loc,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 几乎)) (ADVP (AD 全部)) (VP (VV 处于) (NP (DNP (NP (NN 黑夜)) (DEG 的)) (NP (NN 大洋)))))) (VP (VC 是) (NP (NR 太平洋)))) )
2-B,图中几乎全部处于黑夜的大洋是	大西洋,None,,9,,,图 中 几乎 全部 处于 黑夜 的 大洋 是 大西洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 大西洋,NN LC AD AD VV NN DEG NN VC loc,,实体信息陈述_0（大西洋，几乎全部处于，黑夜）,实体信息陈述_0（大西洋，几乎全部处于，黑夜）,,,实体信息陈述,实体信息陈述,,9,图 中 几乎 全部 处于 黑夜 的 大洋 是 大 西洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 大西洋,NN LC AD AD VV NN DEG NN VC loc,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 几乎)) (ADVP (AD 全部)) (VP (VV 处于) (NP (DNP (NP (NN 黑夜)) (DEG 的)) (NP (NN 大洋)))))) (VP (VC 是) (NP (NR 大西洋)))) )
2-C,图中几乎全部处于黑夜的大洋是	印度洋,None,,9,,,图 中 几乎 全部 处于 黑夜 的 大洋 是 印度洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 印度洋,NN LC AD AD VV NN DEG NN VC loc,,实体信息陈述_0（印度洋，几乎全部处于，黑夜）,实体信息陈述_0（印度洋，几乎全部处于，黑夜）,,,实体信息陈述,实体信息陈述,,,图 中 几乎 全部 处于 黑夜 的 大洋 是 印度洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 印度洋,NN LC AD AD VV NN DEG NN VC loc,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 几乎)) (ADVP (AD 全部)) (VP (VV 处于) (NP (DNP (NP (NN 黑夜)) (DEG 的)) (NP (NN 大洋)))))) (VP (VC 是) (NP (NR 印度洋)))) )
2-D,图中几乎全部处于黑夜的大洋是	北冰洋,None,,9,,,图 中 几乎 全部 处于 黑夜 的 大洋 是 北冰洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 北冰洋,NN LC AD AD VV NN DEG NN VC loc,,实体信息陈述_0（北冰洋，几乎全部处于，黑夜）,实体信息陈述_0（北冰洋，几乎全部处于，黑夜）,,,实体信息陈述,实体信息陈述,,,图 中 几乎 全部 处于 黑夜 的 大洋 是 北冰洋,图 中 几乎 全部 处于 黑夜 的 大洋 是 北冰洋,NN LC AD AD VV NN DEG NN VC loc,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 几乎)) (ADVP (AD 全部)) (VP (VV 处于) (NP (DNP (NP (NN 黑夜)) (DEG 的)) (NP (NN 大洋)))))) (VP (VC 是) (NP (NR 北冰洋)))) )
3-A,如图所示，地球	在公转轨道上位于近日点附近,None,,,5 7 11,,如 图 所 示 ， 地球 在 公转 轨道 上 位于 近日点 附近,如 图 所 示 ， 地球 在 公转 轨道 上 位于 近日点 附近,P NN MSP VV PU term P term NN LC VV term NN,,位于_0（地球，近日点附近）,位于_0（地球，近日点附近）,0_10,0_10,位于,位于,,8,如图所示 ， 地球 在 公转 轨道 上位 于 近日点 附近,如图所示 ， 地球 在 公转 轨道 上位 于 近日点 附近,VV PU term P term NN VV P term NN,( (IP (PP (P 如) (IP (NP (NN 图)) (VP (MSP 所) (VP (VV 示))))) (PU ，) (NP (NN 地球)) (VP (PP (P 在) (LCP (NP (NN 公转) (NN 轨道)) (LC 上))) (VP (VV 位于) (NP (NN 近日点) (NN 附近))))) )
3-B,如图所示，地球	公转速度在该日后逐渐变快,None,,,5 7,,如 图 所 示 ， 地球 公转 速度 在 该 日 后 逐渐 变快,如 图 所 示 ， 地球 公转 速度 在 该 日 后 逐渐 变快,P NN MSP VV PU term NN term P DT NN LC AD VV,,时间限定_0（该日后）趋势_1（地球，公转速度，#，变快）,时间限定_0（该日后）趋势_1（地球，公转速度，#，变快）,1_13,1_13,时间限定 趋势,时间限定 趋势,,,如图所示 ， 地球 公转 速度 在 该 日后 逐渐 变快,如图所示 ， 地球 公转 速度 在 该 日后 逐渐 变快,VV PU term NN term P DT AD AD VV,( (IP (PP (P 如) (IP (NP (NN 图)) (VP (MSP 所) (VP (VV 示))))) (PU ，) (NP (NN 地球) (NN 公转) (NN 速度)) (VP (PP (P 在) (LCP (NP (DP (DT 该)) (NP (NN 日))) (LC 后))) (ADVP (AD 逐渐)) (VP (VV 变快)))) )
3-C,如图所示，地球	自转角速度①地大于③地,None,,7 9,5 6,,如 图 所 示 ， 地球 自转角速度 ①地 大于 ③地,如 图 所 示 ， 地球 自转 角速度 ①地 大于 ③地,P NN MSP VV PU term term loc VV loc,,比较_0（①地，③地，地球自转角速度，大）,比较_0（①地，③地，地球自转角速度，大）,0_8,0_8,比较,比较,5 7,,如图所示 ， 地球 自转角速度 ①地 大于 ③地,如图所示 ， 地球 自转角速度 ①地 大于 ③地,VV PU term term loc VV loc,( (IP (PP (P 如) (IP (NP (NN 图)) (VP (MSP 所) (VP (VV 示))))) (PU ，) (NP (NP (NN 地球)) (NP (NN 自转角速度)) (NP (NR ①地))) (VP (VV 大于) (NP (NR ③地)))) )
