编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,关于1970—2000年间人口变化的相关叙述，正确的是	出生率基本保持不变，死亡率不断下降，自然增长率也不断下降,y,1,,,,关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降,关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降,P time LC NN NN DEG JJ NN PU VA DEC VC NN AD VV VA PU NN AD VV PU NN NN AD AD VV,,时间限定_0（1970—2000年间）趋势_1（出生率，#，#，基本保持不变）趋势_2（死亡率，#，#，不断下降）趋势_3（自然增长率，#，#，不断下降）,时间限定_0（1970—2000年间）趋势_1（出生率，#，#，基本保持不变）趋势_2（死亡率，#，#，不断下降）趋势_3（自然增长率，#，#，不断下降）,1_14-15 2_18-19 3_24-25,1_14-15 2_18-19 3_24-25,时间限定 趋势,时间限定 趋势,1,,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降,P time LC NN NN DEG JJ NN PU VA DEC VC NN AD VV VV PU NN AD VV PU AD NN AD AD VV,( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (NN 出生率)) (VP (ADVP (AD 基本)) (VP (VV 保持) (VP (VA 不变))))) (PU ，) (IP (NP (NN 死亡率)) (VP (ADVP (AD 不断)) (VP (VV 下降)))) (PU ，) (IP (NP (NN 自然) (NN 增长率)) (VP (ADVP (AD 也)) (ADVP (AD 不断)) (VP (VV 下降))))))) )
1-A-0,关于1970—2000年间人口变化的相关叙述，正确的是	出生率基本保持不变,ed-ori,1,,,,关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变,关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变,P NT LC NN NN DEG JJ NN PU VA DEC VC NN AD VV VA,,时间限定_0（1970—2000年间）趋势_1（出生率，#，#，基本保持不变）,时间限定_0（1970—2000年间）趋势_1（出生率，#，#，基本保持不变）,1_14-15,1_14-15,时间限定 趋势,时间限定 趋势,1,,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不 变,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不 变,P NT LC NN NN DEG JJ NN PU VA DEC VC NN AD VV VV,( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 出生率)) (VP (ADVP (AD 基本)) (VP (VV 保持) (VP (VA 不变))))))) )
1-A-1,关于1970—2000年间人口变化的相关叙述，正确的是	死亡率不断下降,ed-ori,1,,,,关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降,关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降,P time LC NN NN DEG JJ NN PU VA DEC VC NN AD VV,,时间限定_0（1970—2000年间）趋势_1（死亡率，#，#，不断下降）,时间限定_0（1970—2000年间）趋势_1（死亡率，#，#，不断下降）,1_13-14,1_13-14,时间限定 趋势,时间限定 趋势,1,,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降,P time LC NN NN DEG JJ NN PU VA DEC VC NN AD VV,( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 死亡率)) (VP (ADVP (AD 不断)) (VP (VV 下降)))))) )
1-A-2,关于1970—2000年间人口变化的相关叙述，正确的是	自然增长率也不断下降,ed-ori,1,,,,关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降,关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降,P time LC NN NN DEG JJ NN PU VA DEC VC NN NN AD AD VV,,时间限定_0（1970—2000年间）趋势_1（自然增长率，#，#，不断下降）,时间限定_0（1970—2000年间）趋势_1（自然增长率，#，#，不断下降）,1_15-16,1_15-16,时间限定 趋势,时间限定 趋势,1,,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降,P time LC NN NN DEG JJ NN PU VA DEC VC NN NN AD AD VV,( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 自然) (NN 增长率)) (VP (ADVP (AD 也)) (ADVP (AD 不断)) (VP (VV 下降)))))) )
1-B,关于1970—2000年间人口变化的相关叙述，正确的是	人口增长模式完成了“高高低”特征向“三低”特征的过渡和转变,None,1,,,,关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高 高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变,关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高 高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变,P time LC NN NN DEG JJ NN PU VA DEC VC NN NN NN VV AS PU NN NN NN PU NN P PU CD NN PU NN DEG NN CC NN,,时间限定_0（1970—2000年间）实体信息陈述_1（人口增长模式，完成，“高高低”特征向“三低”特征的过渡和转变）,时间限定_0（1970—2000年间）实体信息陈述_1（人口增长模式，完成，“高高低”特征向“三低”特征的过渡和转变）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变,P time LC NN NN DEG JJ NN PU VA DEC VC NN VV NN VV AS PU AD VA PU NN P PU CD JJ PU NN DEG NN CC VV,( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 人口) (NN 增长) (NN 模式)) (VP (VV 完成) (AS 了) (NP (NP (NP (PU “) (NN 高) (NN 高) (NN 低) (PU ”)) (NP (NN 特征))) (DNP (PP (P 向) (NP (NP (PU “) (QP (CD 三)) (NP (NN 低)) (PU ”)) (NP (NN 特征)))) (DEG 的)) (NP (NN 过渡) (CC 和) (NN 转变))))))) )
1-C,关于1970—2000年间人口变化的相关叙述，正确的是	1975—1985年期间，我国人口数量先增后降,n,1 12,,,,关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975—1985年 期间 ， 我国 人口 数量 先 增 后 降,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975 — 1985年 期间 ， 我国 人口 数量 先 增 后 降,P time LC NN NN DEG JJ NN PU VA DEC VC time NN PU NR NN NN AD VV AD VV,,时间限定_0（1970—2000年间）时间限定_1（1975—1985年期间）趋势_2（我国人口数量，#，#，先增后降）,时间限定_0（1970—2000年间）时间限定_1（1975—1985年期间）趋势_2（我国人口数量，#，#，先增后降）,2_18-19-20-21,2_18-19-20-21,时间限定 趋势,时间限定 趋势,1 12,,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975— 1985年 期间 ， 我国 人口 数量 先增 后 降,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975— 1985年 期间 ， 我国 人口 数量 先增 后 降,P time LC NN NN DEG JJ NN PU VA DEC VC time NN PU NR NN NN VV LC VV,( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NT 1975—1985年) (NN 期间)) (PU ，) (NP (NP (NP (NR 我国)) (NP (NN 人口))) (NP (NN 数量))) (VP (VP (ADVP (AD 先)) (VP (VV 增))) (VP (ADVP (AD 后)) (VP (VV 降))))))) )
1-D,关于1970—2000年间人口变化的相关叙述，正确的是	1985—2000年人口变化显示了我国在控制人口增长方面取得了较大成就,None,1 12,,,,关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985—2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较大 成就,关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985 — 2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较大 成就,P time LC NN NN DEG JJ NN PU VA DEC VC time NN NN VV AS NR P VV NN NN NN VV AS JJ NN,,时间限定_0（1970—2000年间）时间限定_1（1985—2000年）实体信息陈述_2（人口变化，显示了，我国在控制人口增长方面取得了较大成就）,时间限定_0（1970—2000年间）时间限定_1（1985—2000年）实体信息陈述_2（人口变化，显示了，我国在控制人口增长方面取得了较大成就）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1 12,,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985— 2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较 大成 就,关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985— 2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较 大成 就,P time LC NN NN DEG JJ NN PU VA DEC VC time NN NN VV AS NR P VV NN VV NN VV AS AD VA AD,( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NT 1985—2000年)) (NP (NN 人口) (NN 变化)) (VP (VV 显示) (AS 了) (IP (NP (NR 我国)) (VP (PP (P 在) (NP (IP (VP (VV 控制) (NP (NN 人口) (NN 增长)))) (NP (NN 方面)))) (VP (VV 取得) (AS 了) (NP (ADJP (JJ 较大)) (NP (NN 成就)))))))))) )
2-A,根据2000—2010年间人口变化特点，判断下列叙述正确的是	人口数量的增长与环境、资源相适应,None,1,,,,根据 2000—2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相 适应,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相 适应,P time LC NN NN NN PU VV JJ NN VA DEC VC NN NN DEG NN P NN PU NN AD VV,,时间限定_0（2000—2010年）因果_1（环境，人口数量的增长）因果_2（资源，人口数量的增长）,时间限定_0（2000—2010年）因果_1（环境，趋势_3（人口数量，#，#，增长））因果_2（资源，趋势_4（人口数量，#，#，增长））,1_21-22 2_21-22,1_21-22 2_21-22 3_16 4_16,时间限定 因果,时间限定 因果 趋势,1,,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相适 应,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相适 应,P time LC NN NN NN PU VV NN VV VA DEC VC NN NN DEG NN CC NN PU NN AD VV,( (IP (PP (P 根据) (NP (NP (LCP (NP (NT 2000—2010年)) (LC 间)) (NP (NN 人口) (NN 变化))) (NP (NN 特点)))) (PU ，) (IP (VP (VV 判断) (NP (ADJP (JJ 下列)) (NP (NN 叙述))))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (NN 人口) (NN 数量)) (DEG 的)) (NP (NN 增长))) (VP (PP (P 与) (NP (NN 环境) (PU 、) (NN 资源))) (ADVP (AD 相)) (VP (VV 适应)))))) )
2-B,根据2000—2010年间人口变化特点，判断下列叙述正确的是	仍面临着人口增长速度过快带来的问题,None,1,,,,根据 2000—2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题,P time LC NN NN NN PU VV JJ NN VA DEC VC AD VV AS NN NN NN AD VA VV DEC NN,,时间限定_0（2000—2010年）一般陈述_1（仍面临着人口增长速度过快带来的问题）,时间限定_0（2000—2010年）一般陈述_1（仍面临着人口增长速度过快带来的问题）,,,时间限定 一般陈述,时间限定 一般陈述,1,,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题,P time LC NN NN NN PU VV NN VV VA DEC VC AD VV AS NN NN NN AD VA VV DEC NN,( (IP (PP (P 根据) (NP (NP (LCP (NP (NT 2000—2010年)) (LC 间)) (NP (NN 人口) (NN 变化))) (NP (NN 特点)))) (PU ，) (IP (VP (VV 判断) (NP (ADJP (JJ 下列)) (NP (NN 叙述))))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (ADVP (AD 仍)) (VP (VV 面临) (AS 着) (NP (CP (IP (IP (NP (NN 人口) (NN 增长) (NN 速度)) (VP (ADVP (AD 过)) (VP (VA 快)))) (VP (VV 带来))) (DEC 的)) (NP (NN 问题)))))))) )
2-C,根据2000—2010年间人口变化特点，判断下列叙述正确的是	应建立科学合理的养老制度和社会福利制度,None,1,,,,根据 2000—2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度,P time LC NN NN NN PU VV JJ NN VA DEC VC VV VV VA VA DEC NN NN CC NN NN NN,,时间限定_0（2000—2010年）措施_1（2000—2010年间人口变化，建立科学合理的养老制度和社会福利制度）,时间限定_0（2000—2010年）措施_1（2000—2010年间人口变化，建立科学合理的养老制度和社会福利制度）,1_13-14-19-23,1_13-14-19-23,时间限定 措施,时间限定 措施,1,,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度,根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度,P time LC NN NN NN PU VV NN VV VA DEC VC VV VV NN VA DEC JJ NN CC NN NN NN,( (IP (PP (P 根据) (NP (NP (LCP (NP (NT 2000—2010年)) (LC 间)) (NP (NN 人口) (NN 变化))) (NP (NN 特点)))) (PU ，) (IP (VP (VV 判断) (NP (ADJP (JJ 下列)) (NP (NN 叙述))))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (VP (VV 应) (VP (VV 建立) (NP (CP (IP (VP (VCD (VA 科学) (VA 合理)))) (DEC 的)) (NP (NN 养老) (NN 制度) (CC 和) (NN 社会) (NN 福利) (NN 制度))))))) )
