编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月5日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )
1-B,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月6日零时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月6日零时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 6日 零时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月6日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月6日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月6日 零时 31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 6日 零时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月6日零时31分)))) )
1-C,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月7日2时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月7日2时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 2时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日2时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日2时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月7日2时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 2时 31 分,P NN NN VV NN NN LC PU NR PU NT PU NR PU DEG NN VC NR,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月7日2时31分)))) )
1-D,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月7日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月7日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,16,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月7日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 13时 31分,P NN NN VV NN NN LC PU NR CD PU NR PU DEG NN VC NR,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月7日13时31分)))) )
2-A,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	a点是北极点,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极 点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,,匹配_0（a点，北极点）,匹配_0（a点，北极点）,0_20,0_20,匹配,匹配,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极 点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极 点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN a点)))) (VP (VC 是) (NP (NN 北极点))))) )
2-B,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	b点在赤道上,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,,位于_0（b点，赤道上）,位于_0（b点，赤道上）,0_20,0_20,位于,位于,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NN b点)) (PP (P 在) (LCP (NP (NN 赤道)) (LC 上))))))) )
2-C,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	c点是太阳直射点,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳直射点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳 直射点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,,匹配_0（c点，太阳直射点）,匹配_0（c点，太阳直射点）,0_20,0_20,匹配,匹配,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳直射点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳直射点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN c点)))) (VP (VC 是) (NP (NN 太阳直射点))))) )
2-D,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	d点在南回归线上,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南回归线 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南 回归线 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,,位于_0（d点，南回归线上）,位于_0（d点，南回归线上）,0_20,0_20,位于,位于,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南回归线 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南回归线 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NN d点)) (PP (P 在) (LCP (NP (NN 南回归线)) (LC 上))))))) )
3-A,好奇号探测车用于研究火星上是否存在适合生物生存的环境，主要目标是探测火星上是否存在	大气和云雾,None,,4 18,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 大气 和 云雾,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 大气 和 云雾,NN NN VV VV loc LC AD VV VV NN NN DEG NN PU JJ NN VC VV loc LC AD VV NN CC NN,,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在大气和云雾）,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在大气和云雾）,,,实体信息陈述,实体信息陈述,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 大气 和 云雾,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 大气 和 云雾,NN NN VV NN loc LC AD VV VV NN NN DEG NN PU JJ NN VC VV loc LC AD VV NN CC NN,( (IP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 用于) (VP (VV 研究) (IP (LCP (NP (NR 火星)) (LC 上)) (VP (ADVP (AD 是否)) (VP (VSB (VV 存在) (VV 适合)) (NP (DNP (NP (NN 生物) (NN 生存)) (DEG 的)) (NP (NN 环境))))))))) (PU ，) (NP (ADJP (JJ 主要)) (NP (NN 目标))) (VP (VC 是) (VP (VV 探测) (NP (CP (IP (VP (LCP (NP (NR 火星)) (LC 上)) (ADVP (AD 是否)) (VP (VV 存在))))) (NP (NN 大气) (CC 和) (NN 云雾)))))) )
3-B,好奇号探测车用于研究火星上是否存在适合生物生存的环境，主要目标是探测火星上是否存在	山脉和平原,None,,4 18,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 山脉 和 平原,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 山脉 和 平原,NN NN VV VV loc LC AD VV VV NN NN DEG NN PU JJ NN VC VV loc LC AD VV NN CC NN,,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在山脉和平原）,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在山脉和平原）,,,实体信息陈述,实体信息陈述,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 山脉 和平原,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 山脉 和平 原,NN NN VV NN loc LC AD VV VV NN NN DEG NN PU JJ NN VC VV loc LC AD VV NN NN AD,( (IP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 用于) (VP (VV 研究) (IP (LCP (NP (NR 火星)) (LC 上)) (VP (ADVP (AD 是否)) (VP (VSB (VV 存在) (VV 适合)) (NP (DNP (NP (NN 生物) (NN 生存)) (DEG 的)) (NP (NN 环境))))))))) (PU ，) (NP (ADJP (JJ 主要)) (NP (NN 目标))) (VP (VC 是) (VP (VV 探测) (NP (CP (IP (VP (LCP (NP (NR 火星)) (LC 上)) (ADVP (AD 是否)) (VP (VV 存在))))) (NP (NN 山脉) (CC 和) (NN 平原)))))) )
3-C,好奇号探测车用于研究火星上是否存在适合生物生存的环境，主要目标是探测火星上是否存在	太阳辐射和火星引力,None,,4 18,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 太阳辐射 和 火星 引力,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 太阳 辐射 和 火星 引力,NN NN VV VV loc LC AD VV VV NN NN DEG NN PU JJ NN VC VV loc LC AD VV NR CC NN NN,,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在太阳辐射和火星引力）,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在太阳辐射和火星引力）,,,实体信息陈述,实体信息陈述,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 太阳辐射 和 火星 引力,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 太阳辐射 和 火星 引力,NN NN VV NN loc LC AD VV VV NN NN DEG NN PU JJ NN VC VV loc LC AD VV NR CC NN NN,( (IP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 用于) (VP (VV 研究) (IP (LCP (NP (NR 火星)) (LC 上)) (VP (ADVP (AD 是否)) (VP (VSB (VV 存在) (VV 适合)) (NP (DNP (NP (NN 生物) (NN 生存)) (DEG 的)) (NP (NN 环境))))))))) (PU ，) (NP (ADJP (JJ 主要)) (NP (NN 目标))) (VP (VC 是) (VP (VP (VV 探测) (LCP (NP (NR 火星)) (LC 上))) (VP (ADVP (AD 是否)) (VP (VV 存在) (NP (NP (NR 太阳辐射)) (CC 和) (NP (NN 火星) (NN 引力)))))))) )
