source,oritext,seg,postag,wordNumDiff,charNumDiff,postagEditDistance,lastPosComb,lastPosEqual,firstPosComb,firstPosEqual,lastWordInTimian,lastTwoWordsInTimian,lastPostagInTimian,timeCombination,firstWordInSecondPart,containCuewordsMain,label
2003-北京,在此期间，能源生产与消费结构的变化为	1995年，煤炭生产量所占比重低于其消费量所占比重,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN MSP VV NN VV PN NN MSP VV NN,10,14,11,time/NN,False,time/NN,False,为,变化/为,VC,True/False,煤炭,None,n
2003-北京,在此期间，能源生产与消费结构的变化为	1994年，石油生产量和消费量所占比重相近,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN CC NN MSP VV NN VV,7,10,8,time/VV,False,time/NN,False,为,变化/为,VC,True/False,石油,None,n
2003-北京,我国目前	因消费量少于生产量，原油可以大量出口,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出口,NR time P NN VV NN PU NN VV CD NN,0,1,2,NN/NN,True,P/NN,False,目前,我国/目前,time,False/False,原油,因果,n
2006-北京,三个观测点中	0－1km之间，①的水温变化比②大,三 个 观测点 中 0－1km 之间 ， ① 的 水温 变化 比 ② 大,CD M NN LC num LC PU NN DEG NN NN P NN VA,5,2,7,LC/VA,False,num/NN,False,中,观测点/中,LC,False/False,①,趋势,n
2006-北京,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆，加速有机质分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV,2,4,4,NN/VV,False,loc/VV,False,是,措施/是,VC,False/False,加速,None,y
2006-北京,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟，防治水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN,4,6,5,NN/NN,True,loc/VV,False,是,措施/是,VC,False/False,防治,None,y
2006-北京,不够合理的治理土壤退化的措施是	黄淮海平原实施排灌，调控土壤盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 实施 排灌 ， 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NN NN NN,0,3,2,NN/NN,True,loc/NN,False,是,措施/是,VC,False/False,调控,None,y
2006-北京,不够合理的治理土壤退化的措施是	江南丘陵施用石灰，中和土壤酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 施用 石灰 ， 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NR NN NN,0,2,2,NN/NN,True,loc/NR,False,是,措施/是,VC,False/False,中和,None,y
2007-北京,当火炬传递到	①地时，当地正午太阳高度为全年最大,当 火炬 传递 到 ①地 时 ， 当地 正午太阳高度 为 全年 最 大,P NN VV VV loc LC PU NN term VC NN AD VA,4,10,6,LC/VA,False,loc/NN,False,到,传递/到,VV,False/False,当地,None,n
2007-北京,当火炬传递到	③地时，当地黑夜比白昼长,当 火炬 传递 到 ③地 时 ， 当地 黑夜 比 白昼 长,P NN VV VV loc LC PU NN NN P NN VA,3,5,5,LC/VA,False,loc/NN,False,到,传递/到,VV,False/False,当地,None,n
