foldIndex,oritext,real_label,predoct_label,isRight,wordNumDiff,charNumDiff,postagEditDistance,lastPosComb,lastPosEqual,firstPosComb,firstPosEqual,lastWordInTimian,lastTwoWordsInTimian,lastPostagInTimian,timeCombination,firstWordInSecondPart,containCuewordsMain
0,在此期间，能源生产与消费结构的变化为	1995年，煤炭生产量所占比重低于其消费量所占比重,n,n,True,10,14,11,time/NN,False,time/NN,False,为,变化/为,VC,True/False,煤炭,None
0,在此期间，能源生产与消费结构的变化为	1994年，石油生产量和消费量所占比重相近,n,n,True,7,10,8,time/VV,False,time/NN,False,为,变化/为,VC,True/False,石油,None
0,我国目前	因消费量少于生产量，原油可以大量出口,n,n,True,0,1,2,NN/NN,True,P/NN,False,目前,我国/目前,time,False/False,原油,因果
0,三个观测点中	0－1km之间，①的水温变化比②大,n,n,True,5,2,7,LC/VA,False,num/NN,False,中,观测点/中,LC,False/False,①,趋势
0,当火炬传递到	①地时，当地正午太阳高度为全年最大,n,n,True,4,10,6,LC/VA,False,loc/NN,False,到,传递/到,VV,False/False,当地,None
0,当火炬传递到	③地时，当地黑夜比白昼长,n,n,True,3,5,5,LC/VA,False,loc/NN,False,到,传递/到,VV,False/False,当地,None
0,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆，加速有机质分解,y,y,True,2,4,4,NN/VV,False,loc/VV,False,是,措施/是,VC,False/False,加速,None
0,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟，防治水土流失,y,y,True,4,6,5,NN/NN,True,loc/VV,False,是,措施/是,VC,False/False,防治,None
0,不够合理的治理土壤退化的措施是	黄淮海平原实施排灌，调控土壤盐分,y,y,True,0,3,2,NN/NN,True,loc/NN,False,是,措施/是,VC,False/False,调控,None
0,不够合理的治理土壤退化的措施是	江南丘陵施用石灰，中和土壤酸度,y,y,True,0,2,2,NN/NN,True,loc/NR,False,是,措施/是,VC,False/False,中和,None
0,该地区成为著名旅游地的优势在于	地质地貌景观独特，具有较高的游览价值,y,n,False,2,1,5,VA/NN,False,NN/VV,False,在于,优势/在于,VV,False/False,具有,None
0,该地区成为著名旅游地的优势在于	水陆交通通达性好，旅游地吸引半径大,y,n,False,1,0,2,VA/JJ,False,NN/NN,True,在于,优势/在于,VV,False/False,旅游地,None
0,该海域沿岸	存在上升流，为热带雨林气候,y,y,True,0,2,1,term/term,True,VV/VC,False,沿岸,海域/沿岸,NN,False/False,为,None
0,该海域沿岸	有暖流经过，为热带草原气候,y,y,True,1,2,2,VV/term,False,VE/VC,False,沿岸,海域/沿岸,NN,False/False,为,None
0,该海域沿岸	有寒流经过，为热带沙漠气候,y,y,True,1,2,2,VV/term,False,VE/VC,False,沿岸,海域/沿岸,NN,False/False,为,None
0,该海域沿岸	盛行东南风，为热带季风气候,y,y,True,0,2,1,term/term,True,VV/VC,False,沿岸,海域/沿岸,NN,False/False,为,None
0,岛内最大零售商业点位于甲村，主要形成原因是该村	地形平坦，交通便利,y,y,True,0,0,0,VA/VA,True,NN/NN,True,村,该/村,NN,False/False,交通,None
0,在海岛开发的过程中，该岛	河流入海口处地势开阔，适宜建设深水港,y,y,True,2,3,4,VA/NN,False,NN/VV,False,岛,该/岛,NN,False/False,适宜,因果
0,由08时到20时，图中	①地风向偏北，风力逐渐减弱,y,y,True,0,0,3,VA/VV,False,loc/NN,False,中,图/中,LC,False/False,风力,趋势
0,由08时到20时，图中	②地受高压脊控制，天气持续晴朗,y,y,True,1,2,3,NN/VV,False,loc/NN,False,中,图/中,LC,False/False,天气,None
0,图中	河流③处左岸侵蚀，右岸堆积,y,y,True,2,4,2,term/term,True,NN/NN,True,中,图/中,LC,False/False,右岸,None
0,该图的制作与应用借助于	遥感技术获取道路网信息，测定监测点分布,y,y,True,1,4,1,NN/NN,True,term/VV,False,于,借助/于,P,False/False,测定,None
0,该图的制作与应用借助于	全球定位系统确定事故的位置，预测交通流量,y,y,True,2,7,2,NN/NN,True,term/VV,False,于,借助/于,P,False/False,预测,None
0,该图的制作与应用借助于	地理信息系统查询事故频次，分析出警最优路径,y,y,True,0,4,2,NN/NN,True,term/VV,False,于,借助/于,P,False/False,分析,None
0,若此图表示亚洲东部夏季季风环流，则	甲处是海洋，乙处是陆地,y,y,True,0,0,0,NN/NN,True,NN/NN,True,则,，/则,AD,False/False,乙处,None
0,图示两区域	地势平坦，有相同的农业地域类型,y,y,True,2,6,3,VA/term,False,NN/VE,False,区域,两/区域,NN,False/False,有,None
0,图示两区域	河流以雨水补给为主，流量稳定,y,y,True,3,5,4,VV/VA,False,NN/NN,True,区域,两/区域,NN,False/False,流量,None
0,图示两区域	地处板块交界处，多火山、地震,y,y,True,1,1,4,NN/term,False,VV/JJ,False,区域,两/区域,NN,False/False,多,None
foldIndex,oritext,real_label,predoct_label,isRight,wordNumDiff,charNumDiff,postagEditDistance,lastPosComb,lastPosEqual,firstPosComb,firstPosEqual,lastWordInTimian,lastTwoWordsInTimian,lastPostagInTimian,timeCombination,firstWordInSecondPart,containCuewordsMain
1,当火炬传递到	④地时，当地正值多雨季节,n,n,True,2,5,4,LC/NN,False,loc/NN,False,到,传递/到,VV,False/False,当地,None
1,当火炬传递到	⑤地时，当地正值春暖花开季节,n,n,True,3,7,5,LC/NN,False,loc/NN,False,到,传递/到,VV,False/False,当地,None
1,图上标出的经纬网格区中	随地球自转，③的角速度比④小,n,y,False,3,3,4,term/VA,False,P/NN,False,中,格区/中,LC,False/False,③,趋势
1,图上标出的经纬网格区中	从春分到夏至，①比④的昼长变化幅度大,n,n,True,7,5,8,time/VA,False,time/NN,False,中,格区/中,LC,True/False,①,趋势
1,图上标出的经纬网格区中	从夏至到秋分，②比⑤的正午太阳高度角变化幅度大,n,n,True,7,10,8,time/VA,False,time/NN,False,中,格区/中,LC,True/False,②,趋势
1,根据图中信息可以判断	1963年时湖底东南高，西北低,n,n,True,3,8,3,VA/VA,True,time/NN,False,判断,可以/判断,VV,True/False,西北,None
1,根据左图中等温线分布特点可知，该海区	在北半球，A处有暖流经过,y,y,True,2,3,3,term/VV,False,VV/NN,False,海区,该/海区,NN,False/False,A处,None
1,根据左图中等温线分布特点可知，该海区	在北半球，A处有寒流经过,y,y,True,2,3,3,term/VV,False,VV/NN,False,海区,该/海区,NN,False/False,A处,None
1,根据左图中等温线分布特点可知，该海区	在南半球，A处有暖流经过,y,y,True,2,3,3,term/VV,False,VV/NN,False,海区,该/海区,NN,False/False,A处,None
1,根据左图中等温线分布特点可知，该海区	在南半球，A处有寒流经过,y,y,True,2,3,3,term/VV,False,VV/NN,False,海区,该/海区,NN,False/False,A处,None
1,河西走廊水资源开发利用中，违背可持续发展区际公平性原则的是	地下水逐渐增加，水循环加快,y,y,True,1,2,1,VV/VV,True,NN/NN,True,是,的/是,VC,False/False,水循环,趋势
1,河西走廊水资源开发利用中，违背可持续发展区际公平性原则的是	植被退化严重，生物多样性减少,y,y,True,1,1,2,VA/VV,False,NN/term,False,是,的/是,VC,False/False,生物多样性,趋势
1,该市目前面临资源、能源短缺；进一步发展需要更多劳动力，而城市已经不堪人口重负；环境承载力达到极限。对此，你认为下列措施可行的是	实行区域经济合作，进行资源、能源的跨区域调配,y,y,True,3,5,3,NN/NN,True,VV/VV,True,是,的/是,VC,False/False,进行,None
1,以-A过程形成的大城市，为防止出现城市问题应	扩大城市面积，分散布局工业,y,y,True,0,0,0,NN/NN,True,VV/VV,True,应,问题/应,VV,False/False,分散,趋势
1,以-A过程形成的大城市，为防止出现城市问题应	控制外来人口，减小就业压力,y,y,True,0,0,1,NN/NN,True,VV/VV,True,应,问题/应,VV,False/False,减小,趋势
1,以-A过程形成的大城市，为防止出现城市问题应	优化产业结构，关停并转移污染企业,y,y,True,2,3,2,NN/NN,True,VV/VV,True,应,问题/应,VV,False/False,关停,None
1,①地稻米产区与湖南省稻米产区相似的区位条件是	灌溉水源丰富，机械化程度高,y,y,True,0,0,0,VA/VA,True,NN/NN,True,是,条件/是,VC,False/False,机械化,None
1,①地稻米产区与湖南省稻米产区相似的区位条件是	气候类型相同，土壤肥沃,y,y,True,1,2,1,VA/VA,True,NN/NN,True,是,条件/是,VC,False/False,土壤,None
1,①地稻米产区与湖南省稻米产区相似的区位条件是	地势平坦，高温期与多雨期一致,y,y,True,2,5,4,VA/VV,False,NN/term,False,是,条件/是,VC,False/False,高温期,None
1,①地稻米产区与湖南省稻米产区相似的区位条件是	精耕细作，技术条件优越,y,y,True,2,2,2,NN/VA,False,NN/NN,True,是,条件/是,VC,False/False,技术,None
1,马达加斯加稻米不能自给的原因是	农业技术落后，产量低,y,y,True,1,3,1,VA/VA,True,NN/NN,True,是,原因/是,VC,False/False,产量,None
1,马达加斯加稻米不能自给的原因是	岛国，种植面积有限,y,y,True,2,4,2,NN/VA,False,NN/NN,True,是,原因/是,VC,False/False,种植,趋势
1,在7、8月份，伦敦比北京	气温高，日较差大,y,y,True,0,1,0,VA/VA,True,NN/NN,True,北京,比/北京,loc,False/False,日较差,None
1,在7、8月份，伦敦比北京	风小雾大，降水多,y,y,True,2,1,3,VA/VA,True,NN/VV,False,北京,比/北京,loc,False/False,降水,None
1,在7、8月份，伦敦比北京	日出晚，昼短夜长,y,y,True,2,1,3,NN/VA,False,VV/NN,False,北京,比/北京,loc,False/False,昼,None
1,英国	西部海岸线曲折，珊瑚礁发育好,y,y,True,0,1,2,VA/VA,True,loc/NN,False,好,发育/好,VA,False/False,珊瑚礁,None
1,英国	地形以高原为主，地势西高东低,y,y,True,1,1,4,VV/VA,False,NN/NN,True,英国,NULL/英国,loc,False/False,地势,None
1,图中所示山地	北坡热量条件差，林带上界比南坡低,y,y,True,1,1,1,VA/VA,True,NN/NN,True,山地,所示/山地,NN,False/False,林带,None
foldIndex,oritext,real_label,predoct_label,isRight,wordNumDiff,charNumDiff,postagEditDistance,lastPosComb,lastPosEqual,firstPosComb,firstPosEqual,lastWordInTimian,lastTwoWordsInTimian,lastPostagInTimian,timeCombination,firstWordInSecondPart,containCuewordsMain
2,该图的制作与应用借助于	数字地球技术，实现道路与监测点的互换,n,y,False,5,5,6,term/NN,False,term/VV,False,于,借助/于,P,False/False,实现,None
2,河西走廊水资源开发利用中，违背可持续发展区际公平性原则的是	河流下游水量锐减，甚至断流,n,y,False,2,4,3,VV/VV,True,NN/AD,False,是,的/是,VC,False/False,甚至,None
2,途经该区域的洋流	进入到北冰洋海域，使当地能见度变好,n,y,False,1,0,3,loc/VV,False,VV/VV,True,洋流,的/洋流,NN,False/False,使,因果
2,大气中	臭氧层遭到破坏，会导致①增加,n,n,True,1,1,2,NN/VV,False,NN/VV,False,中,大气/中,LC,False/False,会,因果
2,大气中	二氧化碳浓度降低，会使②减少,n,n,True,1,3,2,VV/VV,True,NN/VV,False,中,大气/中,LC,False/False,会,因果
2,大气中	可吸入颗粒物增加，会使③增加,n,n,True,1,3,2,VV/VV,True,JJ/VV,False,中,大气/中,LC,False/False,会,因果
2,东北平原	地势中间高，南北低,y,y,True,1,2,1,VA/VA,True,NN/NN,True,东北平原,NULL/东北平原,loc,False/False,南北,None
2,东北平原	冬冷夏热，伏旱严重,y,y,True,2,0,3,VA/VA,True,NN/term,False,东北平原,NULL/东北平原,loc,False/False,伏旱,None
