试卷名,编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
2003-北京,7-C,在此期间，能源生产与消费结构的变化为	1995年，煤炭生产量所占比重低于其消费量所占比重,n,2 12,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN MSP VV NN VV PN NN MSP VV NN,,时间限定_0（在此期间）时间限定_1（1995年）趋势_2（能源生产与消费结构，，，煤炭生产量所占比重低于其消费量所占比重）,时间限定_0（在此期间）时间限定_1（1995年）趋势_2（能源生产与消费结构，，，比较_3（煤炭，，生产量所占比重，消费量所占比重，低））,0_2 1_12 2_10,0_2 1_12 2_10 3_19,时间限定 趋势,时间限定 趋势 比较,10,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN MSP VV NN VV PN NN MSP VV NN,( (IP (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NT 1995年)))) (PU ，) (NP (CP (IP (NP (NN 煤炭) (NN 生产量)) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))) (VP (VV 低于) (NP (CP (IP (NP (NP (PN 其)) (NP (NN 消费量))) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))))) )
2003-北京,7-D,在此期间，能源生产与消费结构的变化为	1994年，石油生产量和消费量所占比重相近,n,2 12,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN CC NN MSP VV NN VV,,时间限定_0（在此期间）时间限定_1（1994年）趋势_2（能源生产与消费结构，，，石油生产量和消费量所占比重相近）,时间限定_0（在此期间）时间限定_1（1994年）趋势_2（能源生产与消费结构，，，比较_3（石油，，生产量所占比重，消费量所占比重，相近））,0_2 1_12 2_10,0_2 1_12 2_10 3_21,时间限定 趋势,时间限定 趋势 比较,10,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN CC NN MSP VV NN VV,( (IP (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NT 1994年)))) (PU ，) (NP (CP (IP (NP (NN 石油) (NN 生产量) (CC 和) (NN 消费量)) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))) (VP (VV 相近))) )
2003-北京,9-C,我国目前	因消费量少于生产量，原油可以大量出口,n,1,,,,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出口,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出口,NR time P NN VV NN PU NN VV CD NN,,时间限定_0（目前）因果_1（因消费量少于生产量，我国原油可以大量出口）,时间限定_0（目前）因果_1（因消费量少于生产量，我国原油可以大量出口）,0_1 1_2,0_1 1_2,时间限定 因果,时间限定 因果,1,,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出,NR time P NN VV NN PU NN VV CD NN,( (IP (IP (NP (NR 我国)) (VP (NP (NT 目前)) (PP (P 因) (NP (NN 消费量))) (VP (VV 少于) (NP (NN 生产量))))) (PU ，) (NP (NN 原油)) (VP (VV 可以) (NP (QP (CD 大量)) (NP (NN 出口))))) )
2006-北京,1-D,三个观测点中	0－1km之间，①的水温变化比②大,n,,,,4,三 个 观测点 中 0－1km 之间 ， ① 的 水温 变化 比 ② 大,三 个 观测点 中 0 － 1 km 之间 ， ① 的 水温 变化 比 ② 大,CD M NN LC num LC PU NN DEG NN NN P NN VA,,比较_0（①，②，0－1km之间水温变化，大）,比较_0（①，②，0－1km之间水温变化，大）,0_11,0_11,比较,比较,,,三个 观测点 中 0－ 1km 之间 ， ① 的 水温 变化 比 ② 大,三个 观测点 中 0－ 1km 之间 ， ① 的 水温 变化 比 ② 大,CD M NN LC num LC PU PN DEG NN NN P AD VA,( (IP (LCP (NP (QP (CD 三) (CLP (M 个))) (NP (NN 观测点))) (LC 中)) (LCP (QP (CD 0－1km)) (LC 之间)) (PU ，) (NP (NP (DNP (NP (NN ①)) (DEG 的)) (NP (NN 水温))) (NP (NN 变化))) (VP (PP (P 比) (NP (NN ②))) (VP (VA 大)))) )
2006-北京,7-A,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆，加速有机质分解,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV,,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）措施_1（不够合理的治理土壤退化，东北平原加速有机质分解）,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）措施_1（不够合理的治理土壤退化，东北平原加速有机质分解）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV,( (IP (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (UCP (IP (NP (NR 东北平原)) (VP (VV 开荒))) (PU 、) (NP (NN 焚烧) (NN 秸秆))))) (PU ，) (VP (VV 加速) (NP (NR 有机质)) (IP (VP (VV 分解))))) )
2006-北京,7-A-0,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN,,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 开荒 、 焚烧 秸秆,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (UCP (IP (NP (NR 东北平原)) (VP (VV 开荒))) (PU 、) (NP (NN 焚烧) (NN 秸秆))))) )
2006-北京,7-A-1,不够合理的治理土壤退化的措施是	东北平原加速有机质分解,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV NR VV,,措施_0（不够合理的治理土壤退化，东北平原加速有机质分解）,措施_0（不够合理的治理土壤退化，东北平原加速有机质分解）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV NR VV,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 东北平原)) (VP (VV 加速) (NP (NR 有机质)) (IP (VP (VV 分解))))))) )
2006-北京,7-B,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟，防治水土流失,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN,,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）措施_1（不够合理的治理土壤退化，黄土高原防治水土流失）,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）措施_1（不够合理的治理土壤退化，黄土高原防治水土流失）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NP (NR 黄土高原)) (NP (NN 保塬) (PU 、) (NN 护坡) (PU 、) (NN 固沟))) (PU ，) (VP (VV 防治) (NP (NN 水土流失)))))) )
2006-北京,7-B-0,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN,,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (NP (NP (NR 黄土高原)) (NP (NN 保塬) (PU 、) (NN 护坡) (PU 、) (NN 固沟))))) )
2006-北京,7-B-1,不够合理的治理土壤退化的措施是	黄土高原防治水土流失,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土 流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 防治 水土 流失,AD VA VA DEC NN NN VV DEC NN VC loc VV NN NN,,措施_0（不够合理的治理土壤退化，黄土高原防治水土流失）,措施_0（不够合理的治理土壤退化，黄土高原防治水土流失）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc VV NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (VP (ADVP (AD 不)) (VP (VA 够))) (VP (VA 合理)))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (VP (NP (NR 黄土高原)) (VP (VV 防治) (NP (NN 水土) (NN 流失)))))) )
