试卷名,编号,文本,关键字,备注,是否子句/子句关系,逗号前后特征,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,（auto）成分分析
2003-北京,7-C,在此期间，能源生产与消费结构的变化为***1995年，煤炭生产量所占比重低于其消费量所占比重,《》,这里题目和选项之间应该有一个冒号,×,一个是时间副词，另一个不含时间词,2 12,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN MSP VV NN VV PN NN MSP VV NN,( (IP (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NT 1995年)))) (PU ，) (NP (CP (IP (NP (NN 煤炭) (NN 生产量)) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))) (VP (VV 低于) (NP (CP (IP (NP (NP (PN 其)) (NP (NN 消费量))) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))))) )
2003-北京,7-D,在此期间，能源生产与消费结构的变化为***1994年，石油生产量和消费量所占比重相近,《》,,×,,2 12,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN CC NN MSP VV NN VV,( (IP (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NT 1994年)))) (PU ，) (NP (CP (IP (NP (NN 石油) (NN 生产量) (CC 和) (NN 消费量)) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))) (VP (VV 相近))) )
2003-北京,9-C,我国目前***因消费量少于生产量，原油可以大量出口,因,,是，因果关系,,1,,,,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出口,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出口,NR time P NN VV NN PU NN VV CD NN,( (IP (IP (NP (NR 我国)) (VP (NP (NT 目前)) (PP (P 因) (NP (NN 消费量))) (VP (VV 少于) (NP (NN 生产量))))) (PU ，) (NP (NN 原油)) (VP (VV 可以) (NP (QP (CD 大量)) (NP (NN 出口))))) )
2006-北京,1-D,三个观测点中***0－1km之间，①的水温变化比②大,【】,,×,一个是地点副词（但没有标出），另一个不含地点信息,,,,4,三 个 观测点 中 0－1km 之间 ， ① 的 水温 变化 比 ② 大,三 个 观测点 中 0 － 1 km 之间 ， ① 的 水温 变化 比 ② 大,CD M NN LC num LC PU NN DEG NN NN P NN VA,( (IP (LCP (NP (QP (CD 三) (CLP (M 个))) (NP (NN 观测点))) (LC 中)) (LCP (QP (CD 0－1km)) (LC 之间)) (PU ，) (NP (NP (DNP (NP (NN ①)) (DEG 的)) (NP (NN 水温))) (NP (NN 变化))) (VP (PP (P 比) (NP (NN ②))) (VP (VA 大)))) )
2007-北京,3-A,当火炬传递到***①地时，当地正午太阳高度为全年最大,时,,×,一个暗含时间，另一个不含时间信息,,4,8,,当 火炬 传递 到 ①地 时 ， 当地 正午太阳高度 为 全年 最 大,当 火炬 传递 到 ①地 时 ， 当地 正午 太阳 高度 为 全年 最 大,P NN VV VV loc LC PU NN term VC NN AD VA,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ①地))))) (LC 时))) (PU ，) (NP (NN 当地) (NN 正午太阳高度)) (VP (VP (VC 为) (NP (NN 全年))) (VP (ADVP (AD 最)) (VP (VA 大))))) )
2007-北京,3-B,当火炬传递到***③地时，当地黑夜比白昼长,时,,×,,,4,,,当 火炬 传递 到 ③地 时 ， 当地 黑夜 比 白昼 长,当 火炬 传递 到 ③地 时 ， 当地 黑夜 比 白昼 长,P NN VV VV loc LC PU NN NN P NN VA,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ③地))))) (LC 时))) (PU ，) (NP (NN 当地) (NN 黑夜)) (VP (PP (P 比) (NP (NN 白昼))) (VP (VA 长)))) )
2007-北京,3-C,当火炬传递到***④地时，当地正值多雨季节,时,,×,,,4,,,当 火炬 传递 到 ④地 时 ， 当地 正值 多雨 季节,当 火炬 传递 到 ④地 时 ， 当地 正值 多雨 季节,P NN VV VV loc LC PU NN VV JJ NN,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ④地))))) (LC 时))) (PU ，) (IP (NP (NN 当地)) (VP (VV 正值) (NP (ADJP (JJ 多雨)) (NP (NN 季节)))))) )
2007-北京,3-D,当火炬传递到***⑤地时，当地正值春暖花开季节,时,,×,,,4,,,当 火炬 传递 到 ⑤地 时 ， 当地 正值 春暖 花开 季节,当 火炬 传递 到 ⑤地 时 ， 当地 正值 春暖 花开 季节,P NN VV VV loc LC PU NN VV JJ JJ NN,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ⑤地))))) (LC 时))) (PU ，) (IP (NP (NN 当地)) (VP (VV 正值) (NP (ADJP (JJ 春暖)) (ADJP (JJ 花开)) (NP (NN 季节)))))) )
2010-北京,4-B,图上标出的经纬网格区中***随地球自转，③的角速度比④小,随,逗号左侧的句法成分是PP,×,一个表趋势中的原因/伴随，另一个是趋势表现,,,4 9,,图 上 标出 的 经纬网 格区 中 随 地球 自转 ， ③ 的 角速度 比 ④ 小,图 上 标出 的 经纬网 格区 中 随 地球 自转 ， ③ 的 角速度 比 ④ 小,NN LC VV DEC term NN LC P NN term PU NN DEG NN P NN VA,( (IP (LCP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 上)) (VP (VV 标出)))) (DEC 的)) (NP (NN 经纬网) (NN 格区))) (LC 中)) (PP (P 随) (NP (NN 地球) (NN 自转))) (PU ，) (NP (DNP (NP (NN ③)) (DEG 的)) (NP (NN 角速度))) (VP (PP (P 比) (NP (NN ④))) (VP (VA 小)))) )
2010-北京,4-C,图上标出的经纬网格区中***从春分到夏至，①比④的昼长变化幅度大,从...到...,,×,,7,,4 13,,图 上 标出 的 经纬网 格区 中 从春分到夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 春分 到 夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,NN LC VV DEC term NN LC time PU NN P NN DEG term NN NN VA,( (IP (LCP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 上)) (VP (VV 标出)))) (DEC 的)) (NP (NN 经纬网) (NN 格区))) (LC 中)) (NP (NT 从春分到夏至)) (PU ，) (NP (NN ①)) (VP (PP (P 比) (NP (DNP (NP (NN ④)) (DEG 的)) (NP (NN 昼长) (NN 变化) (NN 幅度)))) (VP (VA 大)))) )
