试卷名,编号,文本,拆分信息,关键字,备注,是否子句/子句关系,逗号前后特征,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
2008-北京,10-A,"该地区成为著名旅游地的优势在于	地处热带，风景优美，环境承载量大",y,,,,后两个子句词性一致，前两个子句字数一致,,,14,,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境承载量 大,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境 承载量 大,DT NN VV JJ NN DEG NN VV VV NN PU NN VA PU term JJ,,实体信息陈述_0（该地区成为著名旅游地，优势，地处热带）实体信息陈述_1（该地区成为著名旅游地，优势，风景优美）实体信息陈述_2（该地区成为著名旅游地，优势，环境承载量大）,实体信息陈述_0（该地区成为著名旅游地，优势，位于_1（该地区，热带））实体信息陈述_2（该地区成为著名旅游地，优势，风景优美）实体信息陈述_3（该地区成为著名旅游地，优势，环境承载量大）,,2_8,实体信息陈述 实体信息陈述 实体信息陈述,实体信息陈述 位于 实体信息陈述 实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境 承载量 大,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带 ， 风景 优美 ， 环境 承载量 大,DT NN VV JJ NN NN DEG NN VV VV NN PU NN VA PU term JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (IP (VP (VV 地处) (NP (NN 热带)))) (PU ，) (IP (NP (NN 风景)) (VP (VA 优美))) (PU ，) (IP (NP (NN 环境承载量)) (VP (ADJP (JJ 大)))))))) )
2008-北京,10-A-0,"该地区成为著名旅游地的优势在于	地处热带",ed-ori,,,,,,,9,,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带,该 地区 成为 著名 旅游地 的 优势 在于 地处 热带,DT NN VV JJ NN DEG NN VV VV term,,实体信息陈述_0（该地区成为著名旅游地，优势，地处热带）,实体信息陈述_0（该地区成为著名旅游地，优势，位于_1（该地区，热带））,,1_8,实体信息陈述,实体信息陈述 位于,,,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带,该 地区 成为 著名 旅游 地 的 优势 在于 地处 热带,DT NN VV JJ NN NN DEG NN VV VV term,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (VP (VV 地处) (NP (NN 热带)))))) )
2008-北京,10-A-1,"该地区成为著名旅游地的优势在于	风景优美",ed-ori,,,,,,,,,该 地区 成为 著名 旅游地 的 优势 在于 风景 优美,该 地区 成为 著名 旅游地 的 优势 在于 风景 优美,DT NN VV JJ NN DEG NN VV NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，风景优美）,实体信息陈述_0（该地区成为著名旅游地，优势，风景优美）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 风景 优美,该 地区 成为 著名 旅游 地 的 优势 在于 风景 优美,DT NN VV JJ NN NN DEG NN VV NN VA,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 风景)) (VP (VA 优美)))))) )
2008-北京,10-A-2,"该地区成为著名旅游地的优势在于	环境承载量大",ed-ori,,,,,,,8,,该 地区 成为 著名 旅游地 的 优势 在于 环境承载量 大,该 地区 成为 著名 旅游地 的 优势 在于 环境 承载量 大,DT NN VV JJ NN DEG NN VV term JJ,,实体信息陈述_0（该地区成为著名旅游地，优势，环境承载量大）,实体信息陈述_0（该地区成为著名旅游地，优势，环境承载量大）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 环境 承载量 大,该 地区 成为 著名 旅游 地 的 优势 在于 环境 承载量 大,DT NN VV JJ NN NN DEG NN VV term JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 环境承载量)) (VP (ADJP (JJ 大))))))) )
2008-北京,10-C,"该地区成为著名旅游地的优势在于	地质地貌景观独特，具有较高的游览价值",y,,,因果/并列,,,,,,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,DT NN VV JJ NN DEG NN VV NN NN NN VA PU VV AD VA DEC NN NN,,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）实体信息陈述_1（该地区成为著名旅游地，优势，具有较高的游览价值）,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）实体信息陈述_1（该地区成为著名旅游地，优势，具有较高的游览价值）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,DT NN VV JJ NN NN DEG NN VV NN NN NN VA PU VV AD VA DEC NN NN,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (IP (NP (NN 地质) (NN 地貌) (NN 景观)) (VP (VA 独特))) (PU ，) (VP (VV 具有) (NP (CP (IP (VP (ADVP (AD 较)) (VP (VA 高)))) (DEC 的)) (NP (NN 游览) (NN 价值)))))))) )
2008-北京,10-C-0,"该地区成为著名旅游地的优势在于	地质地貌景观独特",ed-ori,,,,,,,8 9,,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特,DT NN VV JJ NN DEG NN VV term term NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特,DT NN VV JJ NN NN DEG NN VV term term NN VA,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 地质)) (NP (NN 地貌) (NN 景观)) (VP (VA 独特)))))) )
2008-北京,10-C-1,"该地区成为著名旅游地的优势在于	具有较高的游览价值",ed-ori,,,,,,,,,该 地区 成为 著名 旅游地 的 优势 在于 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游地 的 优势 在于 具有 较 高 的 游览 价值,DT NN VV JJ NN DEG NN VV VV AD VA DEC NN NN,,实体信息陈述_0（该地区成为著名旅游地，优势，具有较高的游览价值）,实体信息陈述_0（该地区成为著名旅游地，优势，具有较高的游览价值）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游 地 的 优势 在于 具有 较 高 的 游览 价值,DT NN VV JJ NN NN DEG NN VV VV AD VA DEC NN NN,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (VP (VV 具有) (NP (CP (IP (VP (ADVP (AD 较)) (VP (VA 高)))) (DEC 的)) (NP (NN 游览) (NN 价值)))))))) )
2008-北京,10-D,"该地区成为著名旅游地的优势在于	水陆交通通达性好，旅游地吸引半径大",y,,,英国/并列-递进,词性一致，尤其是最后一个词特征明显,,,,,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好 ， 旅游地 吸引半径 大,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好 ， 旅游地 吸引半径 大,DT NN VV JJ NN DEG NN VV NN NN NN VA PU NN NN JJ,,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）实体信息陈述_1（该地区成为著名旅游地，优势，旅游地吸引半径大）,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）实体信息陈述_1（该地区成为著名旅游地，优势，旅游地吸引半径大）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好 ， 旅游 地 吸引 半径 大,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好 ， 旅游 地 吸引 半径 大,DT NN VV JJ NN NN DEG NN VV NN NN NN VA PU NN VV NN JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (IP (NP (NN 水陆) (NN 交通) (NN 通达性)) (VP (VA 好))) (PU ，) (IP (NP (NN 旅游地) (NN 吸引半径)) (VP (ADJP (JJ 大)))))))) )
2008-北京,10-D-0,"该地区成为著名旅游地的优势在于	水陆交通通达性好",ed-ori,,,,,,,,,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好,DT NN VV JJ NN DEG NN VV NN NN NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好,DT NN VV JJ NN NN DEG NN VV NN NN NN VA,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 水陆) (NN 交通) (NN 通达性)) (VP (VA 好)))))) )
2008-北京,10-D-1,"该地区成为著名旅游地的优势在于	旅游地吸引半径大",ed-ori,,,,,,,,,该 地区 成为 著名 旅游地 的 优势 在于 旅游地 吸引半径 大,该 地区 成为 著名 旅游地 的 优势 在于 旅游地 吸引半径 大,DT NN VV JJ NN DEG NN VV NN NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，旅游地吸引半径大）,实体信息陈述_0（该地区成为著名旅游地，优势，旅游地吸引半径大）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 旅游 地 吸引 半径 大,该 地区 成为 著名 旅游 地 的 优势 在于 旅游 地 吸引 半径 大,DT NN VV JJ NN NN DEG NN VV NN VV NN JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 旅游地) (NN 吸引半径)) (VP (VA 大)))))) )
